Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
4	A	96.641420	94.334313	91.166020
6	A	96.677810	94.339642	91.205500
2	A	96.600250	94.326723	91.119850
8	A	96.712250	94.344863	91.243040
50	A	96.940750	94.401261	91.513290
20	A	96.849910	94.371817	91.399020
10	A	96.740870	94.349834	91.274850
40	A	96.932680	94.398649	91.503140
100	A	96.997610	94.441502	91.606000
70	A	96.942350	94.403818	91.517280
90	A	96.986360	94.431970	91.586130
60	A	96.942170	94.404654	91.517920
15	A	96.802560	94.361699	91.344540
30	A	96.907350	94.390002	91.470850
80	A	96.959960	94.418150	91.547800
0	B	96.608480	94.346469	91.146690
4	B	96.677570	94.364505	91.229310
2	B	96.637240	94.356875	91.183880
6	B	96.713460	94.369719	91.268220
20	B	96.873540	94.398439	91.447110
10	B	96.774180	94.378842	91.334350
40	B	96.943300	94.422420	91.536210
70	B	96.951940	94.426022	91.547860
90	B	96.990140	94.451240	91.608390
100	B	96.998300	94.457748	91.622410
60	B	96.951970	94.425384	91.547270
8	B	96.745800	94.374319	91.303190
50	B	96.950030	94.424138	91.544230
30	B	96.919820	94.413465	91.505360
80	B	96.967240	94.439545	91.575420
15	B	96.831800	94.389829	91.399370
