Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
2	A	96.607920	94.332276	91.132450
4	A	96.649040	94.343513	91.182100
15	A	96.815710	94.390394	91.384730
80	A	96.978810	94.444508	91.591160
50	A	96.922920	94.433020	91.527240
60	A	96.921990	94.433121	91.526460
8	A	96.721880	94.364202	91.270830
90	A	96.993480	94.443472	91.604010
20	A	96.858220	94.404399	91.438420
100	A	96.997610	94.441502	91.606000
6	A	96.688570	94.355331	91.230820
10	A	96.751450	94.371960	91.306240
30	A	96.905780	94.423986	91.502300
40	A	96.921470	94.431647	91.524540
70	A	96.974870	94.442323	91.585320
0	B	96.608480	94.346469	91.146690
2	B	96.646160	94.361866	91.197120
4	B	96.686170	94.372691	91.245340
15	B	96.842690	94.415407	91.434420
8	B	96.757140	94.392021	91.331020
50	B	96.932920	94.450585	91.553710
20	B	96.880340	94.427837	91.482010
60	B	96.932300	94.451086	91.553610
100	B	96.998300	94.457748	91.622410
6	B	96.724030	94.384126	91.292130
80	B	96.983160	94.459904	91.610200
10	B	96.785090	94.399044	91.364200
40	B	96.931240	94.450324	91.551870
30	B	96.918310	94.443341	91.532890
90	B	96.996730	94.460081	91.623190
70	B	96.979970	94.457422	91.604780
