Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.748150	94.438782	93.256550
6	A	98.796080	94.458879	93.321670
15	A	98.868610	94.489444	93.420400
4	A	98.772240	94.448015	93.288420
40	A	98.925820	94.525625	93.510250
20	A	98.892860	94.502101	93.455830
10	A	98.832140	94.473286	93.369970
8	A	98.815930	94.466236	93.347690
70	A	98.953910	94.533698	93.544790
30	A	98.918310	94.520398	93.497980
60	A	98.924670	94.527391	93.510910
50	A	98.926310	94.526380	93.511460
80	A	98.955590	94.534457	93.547130
100	A	98.958870	94.531223	93.547030
90	A	98.961200	94.534939	93.552910
0	B	98.734810	94.435964	93.241170
2	B	98.778150	94.446434	93.292440
15	B	98.887870	94.493329	93.442440
6	B	98.823240	94.465462	93.353830
20	B	98.908330	94.503840	93.472170
4	B	98.801230	94.455332	93.323030
40	B	98.935250	94.524227	93.517780
10	B	98.856820	94.478418	93.398360
30	B	98.929310	94.517803	93.505810
8	B	98.842320	94.472145	93.378460
70	B	98.959090	94.530255	93.546280
50	B	98.935280	94.526149	93.519710
60	B	98.933430	94.526006	93.517820
80	B	98.960370	94.531427	93.548650
100	B	98.959820	94.529982	93.546700
90	B	98.964300	94.531735	93.552670
