Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
4	A	96.654070	94.342111	91.185490
15	A	96.834010	94.390235	91.401850
90	A	97.024170	94.456330	91.645470
50	A	97.018330	94.452780	91.636510
100	A	96.997610	94.441502	91.606000
70	A	97.025850	94.456498	91.647220
2	A	96.611180	94.331049	91.134340
10	A	96.763160	94.371298	91.316650
6	A	96.694180	94.354883	91.235680
60	A	97.023880	94.454778	91.643690
80	A	97.025100	94.456744	91.646750
30	A	96.960220	94.431985	91.561460
40	A	96.997720	94.444952	91.609450
20	A	96.885810	94.406838	91.466830
8	A	96.730670	94.363732	91.278670
0	B	96.608480	94.346469	91.146690
4	B	96.691040	94.371588	91.248870
90	B	97.025030	94.471725	91.661220
50	B	97.018980	94.469216	91.653070
70	B	97.025950	94.471829	91.662190
100	B	96.998300	94.457748	91.622410
2	B	96.649390	94.360885	91.199220
6	B	96.729330	94.384175	91.297180
10	B	96.796130	94.399177	91.374750
60	B	97.024280	94.471003	91.659810
80	B	97.025530	94.472177	91.662130
15	B	96.859630	94.415424	91.450430
30	B	96.969050	94.449982	91.587250
20	B	96.907630	94.430624	91.510480
40	B	97.001940	94.462121	91.630090
8	B	96.764610	94.391731	91.337790
