Pct	Hap	Aligned	Correct	Overall
0	A	98.713530	94.378390	93.164240
2	A	98.742640	94.387298	93.200510
8	A	98.815030	94.418916	93.300080
4	A	98.767620	94.397901	93.234560
6	A	98.792630	94.410848	93.270960
15	A	98.875770	94.444402	93.382630
10	A	98.835030	94.426339	93.326300
20	A	98.906650	94.459746	93.426970
40	A	98.969450	94.497837	93.523990
30	A	98.948160	94.483829	93.490010
90	A	98.980860	94.506847	93.543690
100	A	98.952570	94.491250	93.501520
50	A	98.978800	94.504510	93.539430
60	A	98.982070	94.506005	93.544000
70	A	98.982620	94.505712	93.544230
80	A	98.981950	94.506766	93.544640
0	B	98.740500	94.384321	93.195550
2	B	98.772410	94.395550	93.236760
8	B	98.840960	94.425671	93.331240
4	B	98.796840	94.406066	93.270210
15	B	98.894680	94.449459	93.405490
6	B	98.819980	94.417991	93.303840
10	B	98.859330	94.432716	93.355550
40	B	98.974200	94.493424	93.524110
20	B	98.921730	94.463613	93.445040
30	B	98.956700	94.480970	93.495250
100	B	98.953600	94.489670	93.500930
60	B	98.984590	94.502447	93.542860
70	B	98.984140	94.503938	93.543910
90	B	98.982030	94.504548	93.542520
50	B	98.981280	94.500172	93.537480
80	B	98.983300	94.504245	93.543420
