Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.734920	94.440822	93.246070
4	A	98.762190	94.457758	93.288550
6	A	98.787520	94.469200	93.323780
8	A	98.809130	94.476674	93.351580
10	A	98.829500	94.484238	93.378300
15	A	98.870320	94.500261	93.432710
20	A	98.903580	94.513920	93.477650
30	A	98.945850	94.536193	93.539640
40	A	98.965420	94.544104	93.565970
70	A	98.971220	94.540756	93.568140
80	A	98.967000	94.540200	93.563600
60	A	98.973770	94.543423	93.573190
50	A	98.973490	94.547035	93.576500
90	A	98.964580	94.538016	93.559150
100	A	98.958870	94.531223	93.547030
0	B	98.734810	94.435964	93.241170
2	B	98.764060	94.448416	93.281090
6	B	98.814950	94.475138	93.355560
8	B	98.836450	94.482643	93.383290
10	B	98.854260	94.489413	93.406810
20	B	98.920470	94.515301	93.494980
30	B	98.953350	94.531201	93.541790
40	B	98.969460	94.539073	93.564810
70	B	98.972820	94.539430	93.568340
50	B	98.974690	94.541898	93.572550
60	B	98.975270	94.541182	93.572390
80	B	98.968300	94.538079	93.562730
90	B	98.965760	94.534716	93.557000
100	B	98.959820	94.529982	93.546700
4	B	98.790810	94.463513	93.321270
15	B	98.890700	94.503679	93.455350
