Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
4	A	96.641510	94.351289	91.182510
8	A	96.724830	94.374392	91.283470
10	A	96.760600	94.382228	91.324810
15	A	96.829820	94.401342	91.408650
40	A	96.993050	94.452005	91.611880
20	A	96.886590	94.419630	91.479960
50	A	97.009610	94.455900	91.631300
60	A	97.010880	94.452839	91.629530
80	A	97.003840	94.447405	91.617610
2	A	96.596890	94.333793	91.123510
6	A	96.687130	94.365631	91.239420
30	A	96.960860	94.441479	91.571270
70	A	97.007720	94.450782	91.624550
90	A	97.001080	94.443217	91.610940
100	A	96.997610	94.441502	91.606000
0	B	96.608480	94.346469	91.146690
8	B	96.758850	94.400915	91.341240
10	B	96.792460	94.408604	91.380410
4	B	96.678320	94.379981	91.244980
60	B	97.010760	94.467212	91.643360
2	B	96.633780	94.363907	91.187410
40	B	96.996450	94.466334	91.628990
20	B	96.910920	94.442216	91.524820
15	B	96.858110	94.426631	91.459850
30	B	96.968630	94.457568	91.594210
50	B	97.009170	94.470213	91.644770
6	B	96.720550	94.392805	91.297240
80	B	97.004330	94.461505	91.631750
90	B	97.001640	94.458537	91.626330
70	B	97.007810	94.465229	91.638650
100	B	96.998300	94.457748	91.622410
