Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7023786	A	0.971931	0.995637	0.967690
0	1	548595	A	0.925162	0.996936	0.922327
0	2	48085	A	0.829552	0.993507	0.824166
0	3	3688	A	0.580260	0.993925	0.576735
0	4	231	A	0.199134	0.978261	0.194805
0	5	36	A	0.194444	0.571429	0.111111
0	6	11	A	0.363636	0.000000	0.000000
0	7	1	A	0.000000	-1.000000	0.000000
2	0	7023786	A	0.971929	0.995645	0.967696
2	1	548595	A	0.945769	0.997155	0.943078
2	2	48085	A	0.901300	0.994855	0.896662
2	3	3688	A	0.802603	0.996284	0.799620
2	4	231	A	0.649351	1.000000	0.649351
2	5	36	A	0.722222	0.884615	0.638889
2	6	11	A	0.363636	0.000000	0.000000
2	7	1	A	0.000000	-1.000000	0.000000
4	0	7023786	A	0.971917	0.995641	0.967680
4	1	548595	A	0.956600	0.997407	0.954119
4	2	48085	A	0.931434	0.995423	0.927171
4	3	3688	A	0.886388	0.996023	0.882863
4	4	231	A	0.818182	1.000000	0.818182
4	5	36	A	0.861111	0.903226	0.777778
4	6	11	A	0.545455	0.333333	0.181818
4	7	1	A	1.000000	1.000000	1.000000
6	0	7023786	A	0.971902	0.995639	0.967663
6	1	548595	A	0.961824	0.997559	0.959476
6	2	48085	A	0.946012	0.995625	0.941874
6	3	3688	A	0.922993	0.997062	0.920282
6	4	231	A	0.844156	1.000000	0.844156
6	5	36	A	0.861111	0.903226	0.777778
6	6	11	A	0.545455	0.333333	0.181818
6	7	1	A	1.000000	1.000000	1.000000
8	0	7023786	A	0.971886	0.995637	0.967646
8	1	548595	A	0.963955	0.997661	0.961700
8	2	48085	A	0.952542	0.995786	0.948529
8	3	3688	A	0.936280	0.997104	0.933568
8	4	231	A	0.870130	1.000000	0.870130
8	5	36	A	0.888889	0.906250	0.805556
8	6	11	A	0.545455	0.333333	0.181818
8	7	1	A	1.000000	1.000000	1.000000
10	0	7023786	A	0.971876	0.995636	0.967634
10	1	548595	A	0.964934	0.997690	0.962705
10	2	48085	A	0.954601	0.995926	0.950712
10	3	3688	A	0.940076	0.997116	0.937364
10	4	231	A	0.878788	1.000000	0.878788
10	5	36	A	0.888889	0.906250	0.805556
10	6	11	A	0.545455	0.333333	0.181818
10	7	1	A	1.000000	1.000000	1.000000
20	0	7023786	A	0.971782	0.995631	0.967536
20	1	548595	A	0.965714	0.997709	0.963501
20	2	48085	A	0.956785	0.996066	0.953021
20	3	3688	A	0.940347	0.997116	0.937636
20	4	231	A	0.878788	1.000000	0.878788
20	5	36	A	0.888889	0.906250	0.805556
20	6	11	A	0.545455	0.333333	0.181818
20	7	1	A	1.000000	1.000000	1.000000
15	0	7023786	A	0.971829	0.995633	0.967585
15	1	548595	A	0.965590	0.997706	0.963376
15	2	48085	A	0.956348	0.995955	0.952480
15	3	3688	A	0.940889	0.997118	0.938178
15	4	231	A	0.878788	1.000000	0.878788
15	5	36	A	0.888889	0.906250	0.805556
15	6	11	A	0.545455	0.333333	0.181818
15	7	1	A	1.000000	1.000000	1.000000
30	0	7023786	A	0.971720	0.995642	0.967485
30	1	548595	A	0.965483	0.997699	0.963261
30	2	48085	A	0.956140	0.996150	0.952459
30	3	3688	A	0.939805	0.997115	0.937093
30	4	231	A	0.878788	1.000000	0.878788
30	5	36	A	0.888889	0.906250	0.805556
30	6	11	A	0.545455	0.333333	0.181818
30	7	1	A	1.000000	1.000000	1.000000
40	0	7023786	A	0.971664	0.995662	0.967449
40	1	548595	A	0.964991	0.997680	0.962752
40	2	48085	A	0.955142	0.996081	0.951399
40	3	3688	A	0.939534	0.997114	0.936822
40	4	231	A	0.878788	1.000000	0.878788
40	5	36	A	0.888889	0.906250	0.805556
40	6	11	A	0.545455	0.333333	0.181818
40	7	1	A	1.000000	1.000000	1.000000
0	0	7066817	B	0.971943	0.995668	0.967732
0	1	509501	B	0.924858	0.997129	0.922202
0	2	44467	B	0.827872	0.993752	0.822700
0	3	3348	B	0.577360	0.991723	0.572581
0	4	221	B	0.167421	1.000000	0.167421
0	5	13	B	0.307692	0.750000	0.230769
0	6	10	B	0.300000	0.000000	0.000000
50	0	7023786	A	0.971623	0.995668	0.967413
50	1	548595	A	0.964723	0.997683	0.962488
50	2	48085	A	0.954352	0.996056	0.950588
50	3	3688	A	0.937907	0.997109	0.935195
50	4	231	A	0.878788	1.000000	0.878788
50	5	36	A	0.888889	0.906250	0.805556
50	6	11	A	0.545455	0.333333	0.181818
50	7	1	A	1.000000	1.000000	1.000000
60	0	7023786	A	0.971566	0.995665	0.967354
60	1	548595	A	0.964684	0.997691	0.962457
60	2	48085	A	0.954310	0.996056	0.950546
60	3	3688	A	0.937907	0.997109	0.935195
60	4	231	A	0.878788	1.000000	0.878788
60	5	36	A	0.888889	0.906250	0.805556
60	6	11	A	0.545455	0.333333	0.181818
60	7	1	A	1.000000	1.000000	1.000000
70	0	7023786	A	0.971501	0.995677	0.967301
70	1	548595	A	0.964509	0.997679	0.962271
70	2	48085	A	0.953437	0.996052	0.949672
70	3	3688	A	0.937636	0.997397	0.935195
70	4	231	A	0.878788	1.000000	0.878788
70	5	36	A	0.888889	0.906250	0.805556
70	6	11	A	0.545455	0.333333	0.181818
70	7	1	A	1.000000	1.000000	1.000000
80	0	7023786	A	0.971440	0.995692	0.967256
80	1	548595	A	0.964345	0.997673	0.962101
80	2	48085	A	0.953478	0.996074	0.949735
80	3	3688	A	0.937636	0.997687	0.935466
80	4	231	A	0.878788	1.000000	0.878788
80	5	36	A	0.888889	0.906250	0.805556
80	6	11	A	0.545455	0.333333	0.181818
80	7	1	A	1.000000	1.000000	1.000000
90	0	7023786	A	0.971310	0.995741	0.967173
90	1	548595	A	0.964210	0.997701	0.961994
90	2	48085	A	0.953499	0.996052	0.949735
90	3	3688	A	0.937907	0.997398	0.935466
90	4	231	A	0.878788	1.000000	0.878788
90	5	36	A	0.888889	0.906250	0.805556
90	6	11	A	0.545455	0.333333	0.181818
90	7	1	A	1.000000	1.000000	1.000000
2	0	7066817	B	0.971939	0.995675	0.967736
2	1	509501	B	0.946096	0.997361	0.943600
2	2	44467	B	0.903524	0.994922	0.898936
2	3	3348	B	0.810633	0.995947	0.807348
2	4	221	B	0.764706	1.000000	0.764706
2	5	13	B	0.769231	0.900000	0.692308
2	6	10	B	0.300000	0.000000	0.000000
6	0	7066817	B	0.971912	0.995671	0.967705
6	1	509501	B	0.961924	0.997764	0.959772
6	2	44467	B	0.948096	0.995754	0.944071
6	3	3348	B	0.921744	0.995787	0.917861
6	4	221	B	0.923077	1.000000	0.923077
6	5	13	B	0.846154	0.909091	0.769231
6	6	10	B	0.400000	0.250000	0.100000
4	0	7066817	B	0.971928	0.995676	0.967725
4	1	509501	B	0.956866	0.997629	0.954597
4	2	44467	B	0.932917	0.995372	0.928599
4	3	3348	B	0.891577	0.995645	0.887694
4	4	221	B	0.877828	1.000000	0.877828
4	5	13	B	0.923077	0.916667	0.846154
4	6	10	B	0.400000	0.250000	0.100000
8	0	7066817	B	0.971898	0.995669	0.967688
8	1	509501	B	0.964077	0.997844	0.961998
8	2	44467	B	0.954101	0.995734	0.950030
8	3	3348	B	0.938471	0.995863	0.934588
8	4	221	B	0.932127	1.000000	0.932127
8	5	13	B	0.923077	0.916667	0.846154
8	6	10	B	0.400000	0.250000	0.100000
20	0	7066817	B	0.971795	0.995658	0.967575
20	1	509501	B	0.965533	0.997880	0.963486
20	2	44467	B	0.957811	0.995891	0.953876
20	3	3348	B	0.946834	0.995899	0.942951
20	4	221	B	0.932127	1.000000	0.932127
20	5	13	B	0.846154	0.909091	0.769231
20	6	10	B	0.400000	0.250000	0.100000
10	0	7066817	B	0.971888	0.995666	0.967676
10	1	509501	B	0.964858	0.997858	0.962791
10	2	44467	B	0.956305	0.995767	0.952257
10	3	3348	B	0.945341	0.995893	0.941458
10	4	221	B	0.936652	1.000000	0.936652
10	5	13	B	0.846154	0.909091	0.769231
10	6	10	B	0.400000	0.250000	0.100000
30	0	7066817	B	0.971732	0.995668	0.967523
30	1	509501	B	0.965239	0.997881	0.963193
30	2	44467	B	0.957092	0.995935	0.953201
30	3	3348	B	0.945938	0.995895	0.942055
30	4	221	B	0.936652	1.000000	0.936652
30	5	13	B	0.846154	0.909091	0.769231
30	6	10	B	0.400000	0.250000	0.100000
15	0	7066817	B	0.971840	0.995663	0.967625
15	1	509501	B	0.965468	0.997878	0.963419
15	2	44467	B	0.957609	0.995773	0.953561
15	3	3348	B	0.946535	0.995898	0.942652
15	4	221	B	0.936652	1.000000	0.936652
15	5	13	B	0.846154	0.909091	0.769231
15	6	10	B	0.400000	0.250000	0.100000
40	0	7066817	B	0.971677	0.995684	0.967483
40	1	509501	B	0.964783	0.997874	0.962732
40	2	44467	B	0.956125	0.995931	0.952234
40	3	3348	B	0.944743	0.995890	0.940860
40	4	221	B	0.923077	1.000000	0.923077
40	5	13	B	0.846154	0.909091	0.769231
40	6	10	B	0.400000	0.250000	0.100000
60	0	7066817	B	0.971580	0.995694	0.967397
60	1	509501	B	0.964420	0.997873	0.962369
60	2	44467	B	0.955405	0.995904	0.951492
60	3	3348	B	0.944146	0.995887	0.940263
60	4	221	B	0.923077	1.000000	0.923077
60	5	13	B	0.846154	0.909091	0.769231
60	6	10	B	0.400000	0.250000	0.100000
50	0	7066817	B	0.971637	0.995694	0.967453
50	1	509501	B	0.964563	0.997870	0.962508
50	2	44467	B	0.955450	0.995881	0.951515
50	3	3348	B	0.943250	0.995883	0.939367
50	4	221	B	0.927602	1.000000	0.927602
50	5	13	B	0.846154	0.909091	0.769231
50	6	10	B	0.400000	0.250000	0.100000
80	0	7066817	B	0.971458	0.995731	0.967311
80	1	509501	B	0.964104	0.997869	0.962049
80	2	44467	B	0.954775	0.995902	0.950862
80	3	3348	B	0.943250	0.996200	0.939665
80	4	221	B	0.927602	1.000000	0.927602
80	5	13	B	0.846154	0.909091	0.769231
80	6	10	B	0.400000	0.250000	0.100000
70	0	7066817	B	0.971514	0.995711	0.967347
70	1	509501	B	0.964249	0.997869	0.962194
