Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
2	A	96.950750	99.574537	96.538261
4	A	97.051230	99.576437	96.640157
6	A	97.098473	99.577548	96.688278
8	A	97.117202	99.578237	96.707598
10	A	97.124796	99.578432	96.715349
20	A	97.123196	99.578209	96.713539
15	A	97.126370	99.578345	96.716831
30	A	97.115340	99.579256	96.706732
40	A	97.106027	99.580863	96.699020
0	B	96.775737	99.575038	96.364477
50	A	97.099732	99.581403	96.693275
60	A	97.094158	99.581203	96.687531
70	A	97.086406	99.582210	96.680789
80	A	97.079652	99.583654	96.675464
90	A	97.066720	99.588287	96.667083
100	A	96.993717	99.555348	96.562433
2	B	96.973536	99.578096	96.564401
6	B	97.108157	99.580923	96.701199
4	B	97.065478	99.580266	96.658061
8	B	97.125483	99.581308	96.718827
20	B	97.128211	99.580618	96.720873
10	B	97.131333	99.581199	96.724545
30	B	97.119975	99.581595	96.713620
15	B	97.131844	99.581012	96.724873
40	B	97.111161	99.583043	96.706249
60	B	97.099265	99.583991	96.695323
50	B	97.105534	99.583910	96.701488
80	B	97.085441	99.587404	96.684870
70	B	97.091657	99.585445	96.689159
90	B	97.072351	99.591105	96.675427
100	B	96.995282	99.556177	96.564795
