Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
8	A	97.101253	99.578398	96.691872
2	A	96.951813	99.574623	96.539402
15	A	97.102893	99.578337	96.693446
10	A	97.103575	99.578300	96.694089
20	A	97.098774	99.579332	96.690311
4	A	97.050063	99.576729	96.639278
6	A	97.088584	99.577708	96.678586
30	A	97.088636	99.580842	96.681681
40	A	97.072622	99.583502	96.668316
0	B	96.775737	99.575038	96.364477
60	A	97.064083	99.581628	96.657994
70	A	97.050194	99.577189	96.639855
50	A	97.071467	99.580349	96.664106
80	A	97.049617	99.577403	96.639488
90	A	97.037734	99.571418	96.621847
100	A	96.993717	99.555348	96.562433
15	B	97.109849	99.580687	96.702655
2	B	96.974048	99.578234	96.565044
10	B	97.111528	99.580816	96.704452
20	B	97.105783	99.581264	96.699166
4	B	97.062737	99.579957	96.655032
6	B	97.097678	99.581026	96.690864
8	B	97.109141	99.581035	96.702288
30	B	97.095868	99.582775	96.690759
40	B	97.080181	99.585936	96.678207
60	B	97.070266	99.584219	96.666665
50	B	97.076797	99.582490	96.671492
70	B	97.054067	99.579014	96.645483
80	B	97.053805	99.579040	96.645247
90	B	97.039863	99.572951	96.625455
100	B	96.995282	99.556177	96.564795
