Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
0	B	96.608480	94.346469	91.146690
4	A	96.879880	94.409200	91.463520
30	A	96.936660	94.434531	91.541680
6	A	96.910810	94.424244	91.507300
2	A	96.782200	94.376259	91.339420
8	A	96.916430	94.428396	91.516630
40	A	96.928230	94.427826	91.527220
10	A	96.915200	94.429780	91.516810
20	A	96.903350	94.428583	91.504460
15	A	96.909100	94.429264	91.510550
80	A	96.888590	94.385118	91.448410
70	A	96.900750	94.406906	91.481000
50	A	96.918510	94.426978	91.517220
60	A	96.909870	94.416585	91.498990
4	B	96.896660	94.429870	91.499390
2	B	96.809310	94.401169	91.389120
6	B	96.923260	94.443769	91.537980
30	B	96.943920	94.455826	91.569180
8	B	96.927400	94.445709	91.543770
10	B	96.925950	94.446069	91.542750
40	B	96.934800	94.449186	91.554130
15	B	96.919900	94.446600	91.537550
20	B	96.914230	94.447420	91.532990
80	B	96.892590	94.403525	91.470020
50	B	96.924330	94.448174	91.543260
70	B	96.906190	94.425114	91.503780
60	B	96.914770	94.435554	91.522000
90	A	96.875120	94.369896	91.420950
90	B	96.878810	94.386729	91.440740
100	A	96.823430	94.335968	91.339320
100	B	96.825970	94.350090	91.355390
