Pct	Hap	Aligned	Correct	Overall
8	A	96.961440	94.400919	91.532490
10	A	96.969210	94.404172	91.542980
15	A	96.971560	94.405865	91.546840
20	A	96.968950	94.406838	91.545320
6	A	96.939990	94.392190	91.503780
60	A	96.938260	94.405057	91.514620
50	A	96.942810	94.405207	91.519060
40	A	96.949560	94.407185	91.527350
90	A	96.914060	94.410522	91.497070
80	A	96.927360	94.406935	91.506150
70	A	96.932430	94.405639	91.509680
0	A	96.572620	94.318421	91.085770
2	A	96.772520	94.350080	91.304950
20	B	96.975730	94.427245	91.571510
4	A	96.885020	94.377056	91.437230
6	B	96.951290	94.416454	91.537970
10	B	96.977060	94.426785	91.572320
8	B	96.971220	94.424408	91.564500
50	B	96.950190	94.429335	91.549420
15	B	96.979140	94.427565	91.575040
40	B	96.956870	94.428977	91.555380
60	B	96.945180	94.429563	91.544910
30	A	96.960320	94.407516	91.537830
90	B	96.921520	94.432836	91.525740
70	B	96.939720	94.429177	91.539380
80	B	96.935100	94.429500	91.535330
0	B	96.608480	94.346469	91.146690
2	B	96.800180	94.378895	91.358940
4	B	96.902030	94.402615	91.478050
30	B	96.966930	94.429493	91.565380
100	A	96.823430	94.335968	91.339320
100	B	96.825970	94.350090	91.355390
