Pct	Hap	Aligned	Correct	Overall
0	A	93.653250	83.340301	78.050900
0	B	93.673000	83.359954	78.085770
10	A	93.899510	83.464344	78.372610
20	A	93.907660	83.462893	78.378050
15	A	93.904830	83.464546	78.377240
50	A	93.920420	83.457516	78.383650
30	A	93.912280	83.461226	78.380340
2	A	93.796250	83.398046	78.224240
8	A	93.894860	83.462023	78.366550
40	A	93.916530	83.459238	78.382020
6	A	93.883260	83.455528	78.350770
90	A	93.957650	83.206870	78.179220
80	A	93.931430	83.451322	78.387020
60	A	93.923770	83.455796	78.384830
70	A	93.927890	83.452902	78.385550
4	A	93.855270	83.437638	78.310620
15	B	93.906530	83.468455	78.382330
2	B	93.808180	83.414058	78.249210
10	B	93.901550	83.469453	78.379110
30	B	93.913960	83.466217	78.386430
20	B	93.909620	83.467562	78.384070
50	B	93.921830	83.461236	78.388320
40	B	93.918050	83.462913	78.386740
4	B	93.863110	83.447842	78.326740
6	B	93.887730	83.463079	78.361590
8	B	93.897590	83.468745	78.375140
90	B	93.958400	83.209207	78.182040
60	B	93.925210	83.458978	78.389020
80	B	93.932830	83.454347	78.391030
70	B	93.929290	83.457365	78.390910
100	A	93.987350	82.447053	77.489800
100	B	93.987700	82.442362	77.485680
