Pct	Hap	Aligned	Correct	Overall
2	A	93.782390	83.414242	78.227870
15	A	93.916570	83.338137	78.268320
50	A	93.950410	82.897360	77.882410
0	A	93.653250	83.340301	78.050900
6	A	93.883490	83.443596	78.339760
4	A	93.849270	83.442386	78.310070
20	A	93.922810	83.268271	78.207900
8	A	93.900250	83.429991	78.340970
10	A	93.908250	83.406346	78.325440
40	A	93.941900	83.012649	77.983660
90	A	93.980180	82.523549	77.555780
30	A	93.932760	83.135596	78.091560
60	A	93.958870	82.784850	77.783710
100	A	93.987350	82.447053	77.489800
70	A	93.965850	82.700641	77.710360
80	A	93.973620	82.604863	77.626780
2	B	93.794680	83.425201	78.248400
15	B	93.917340	83.336134	78.267080
0	B	93.673000	83.359954	78.085770
4	B	93.857110	83.447093	78.321030
8	B	93.902850	83.430045	78.343190
20	B	93.923510	83.267342	78.207610
50	B	93.950770	82.890869	77.876610
30	B	93.933610	83.132512	78.089370
6	B	93.887850	83.445110	78.344820
10	B	93.909160	83.403781	78.323790
40	B	93.942270	83.008469	77.980040
60	B	93.959120	82.778723	77.778160
90	B	93.980470	82.516942	77.549810
80	B	93.973900	82.600307	77.622730
70	B	93.966110	82.694867	77.705150
100	B	93.987700	82.442362	77.485680
