Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7023786	A	0.971931	0.995637	0.967690
0	1	548595	A	0.925162	0.996936	0.922327
0	2	48085	A	0.829552	0.993507	0.824166
0	3	3688	A	0.580260	0.993925	0.576735
0	4	231	A	0.199134	0.978261	0.194805
0	5	36	A	0.194444	0.571429	0.111111
0	6	11	A	0.363636	0.000000	0.000000
0	7	1	A	0.000000	-1.000000	0.000000
2	0	7023786	A	0.971896	0.995614	0.967633
2	1	548595	A	0.946718	0.998069	0.944890
2	2	48085	A	0.902236	0.996312	0.898908
2	3	3688	A	0.793384	0.996241	0.790401
2	4	231	A	0.588745	1.000000	0.588745
2	5	36	A	0.277778	0.700000	0.194444
2	6	11	A	0.454545	0.200000	0.090909
2	7	1	A	0.000000	-1.000000	0.000000
10	0	7023786	A	0.971745	0.995522	0.967394
10	1	548595	A	0.968199	0.999021	0.967251
10	2	48085	A	0.965311	0.998707	0.964064
10	3	3688	A	0.962852	0.999718	0.962581
10	4	231	A	0.952381	1.000000	0.952381
10	5	36	A	0.944444	1.000000	0.944444
10	6	11	A	1.000000	1.000000	1.000000
10	7	1	A	1.000000	1.000000	1.000000
8	0	7023786	A	0.971791	0.995537	0.967454
8	1	548595	A	0.966963	0.998959	0.965957
8	2	48085	A	0.962733	0.998596	0.961381
8	3	3688	A	0.959056	0.999717	0.958785
8	4	231	A	0.930736	1.000000	0.930736
8	5	36	A	0.888889	1.000000	0.888889
8	6	11	A	1.000000	1.000000	1.000000
8	7	1	A	1.000000	1.000000	1.000000
15	0	7023786	A	0.971648	0.995474	0.967250
15	1	548595	A	0.968950	0.999042	0.968022
15	2	48085	A	0.966850	0.998709	0.965603
15	3	3688	A	0.963395	0.999719	0.963124
15	4	231	A	0.965368	1.000000	0.965368
15	5	36	A	0.944444	1.000000	0.944444
15	6	11	A	1.000000	1.000000	1.000000
15	7	1	A	1.000000	1.000000	1.000000
20	0	7023786	A	0.971547	0.995430	0.967107
20	1	548595	A	0.969041	0.999022	0.968093
20	2	48085	A	0.966975	0.998774	0.965790
20	3	3688	A	0.962852	0.999437	0.962310
20	4	231	A	0.961039	1.000000	0.961039
20	5	36	A	0.944444	1.000000	0.944444
20	6	11	A	1.000000	1.000000	1.000000
20	7	1	A	1.000000	1.000000	1.000000
4	0	7023786	A	0.971871	0.995585	0.967580
4	1	548595	A	0.958202	0.998510	0.956775
4	2	48085	A	0.939503	0.997477	0.937132
4	3	3688	A	0.891269	0.998175	0.889642
4	4	231	A	0.826840	1.000000	0.826840
4	5	36	A	0.861111	0.967742	0.833333
4	6	11	A	0.909091	0.700000	0.636364
4	7	1	A	1.000000	1.000000	1.000000
6	0	7023786	A	0.971835	0.995557	0.967517
6	1	548595	A	0.964360	0.998862	0.963263
6	2	48085	A	0.955807	0.998259	0.954144
6	3	3688	A	0.939262	0.998845	0.938178
6	4	231	A	0.917749	1.000000	0.917749
6	5	36	A	0.888889	1.000000	0.888889
6	6	11	A	1.000000	1.000000	1.000000
6	7	1	A	1.000000	1.000000	1.000000
30	0	7023786	A	0.971326	0.995394	0.966852
30	1	548595	A	0.968654	0.998937	0.967625
30	2	48085	A	0.965935	0.998751	0.964729
30	3	3688	A	0.960141	0.999435	0.959599
30	4	231	A	0.961039	1.000000	0.961039
30	5	36	A	0.944444	1.000000	0.944444
30	6	11	A	1.000000	1.000000	1.000000
30	7	1	A	1.000000	1.000000	1.000000
0	0	7066817	B	0.971943	0.995668	0.967732
0	1	509501	B	0.924858	0.997129	0.922202
0	2	44467	B	0.827872	0.993752	0.822700
0	3	3348	B	0.577360	0.991723	0.572581
0	4	221	B	0.167421	1.000000	0.167421
0	5	13	B	0.307692	0.750000	0.230769
0	6	10	B	0.300000	0.000000	0.000000
40	0	7023786	A	0.971175	0.995349	0.966657
40	1	548595	A	0.968148	0.998844	0.967029
40	2	48085	A	0.964604	0.998685	0.963336
40	3	3688	A	0.961497	0.998590	0.960141
40	4	231	A	0.961039	1.000000	0.961039
40	5	36	A	0.944444	1.000000	0.944444
40	6	11	A	1.000000	1.000000	1.000000
40	7	1	A	1.000000	1.000000	1.000000
2	0	7066817	B	0.971907	0.995640	0.967670
2	1	509501	B	0.947034	0.998205	0.945335
2	2	44467	B	0.904401	0.996618	0.901343
2	3	3348	B	0.810932	0.995580	0.807348
2	4	221	B	0.669683	1.000000	0.669683
2	5	13	B	0.384615	0.800000	0.307692
2	6	10	B	0.300000	0.000000	0.000000
10	0	7066817	B	0.971755	0.995551	0.967432
10	1	509501	B	0.967853	0.999085	0.966968
10	2	44467	B	0.965637	0.998999	0.964670
10	3	3348	B	0.966249	0.999382	0.965651
10	4	221	B	0.972851	1.000000	0.972851
10	5	13	B	0.923077	1.000000	0.923077
10	6	10	B	1.000000	1.000000	1.000000
8	0	7066817	B	0.971799	0.995566	0.967490
8	1	509501	B	0.966934	0.999046	0.966012
8	2	44467	B	0.963906	0.998973	0.962916
8	3	3348	B	0.954301	0.999374	0.953704
8	4	221	B	0.972851	1.000000	0.972851
8	5	13	B	0.846154	1.000000	0.846154
8	6	10	B	1.000000	1.000000	1.000000
20	0	7066817	B	0.971556	0.995459	0.967144
20	1	509501	B	0.968605	0.999076	0.967710
20	2	44467	B	0.966739	0.999046	0.965817
20	3	3348	B	0.968041	0.999383	0.967443
20	4	221	B	0.972851	1.000000	0.972851
20	5	13	B	0.923077	1.000000	0.923077
20	6	10	B	1.000000	1.000000	1.000000
6	0	7066817	B	0.971843	0.995588	0.967555
6	1	509501	B	0.964328	0.998921	0.963288
6	2	44467	B	0.957744	0.998662	0.956462
6	3	3348	B	0.941159	0.999683	0.940860
6	4	221	B	0.954751	1.000000	0.954751
6	5	13	B	0.769231	1.000000	0.769231
6	6	10	B	0.700000	1.000000	0.700000
15	0	7066817	B	0.971657	0.995501	0.967286
15	1	509501	B	0.968559	0.999096	0.967684
15	2	44467	B	0.966942	0.999000	0.965975
15	3	3348	B	0.968339	0.999383	0.967742
15	4	221	B	0.972851	1.000000	0.972851
15	5	13	B	0.923077	1.000000	0.923077
15	6	10	B	1.000000	1.000000	1.000000
30	0	7066817	B	0.971340	0.995423	0.966894
30	1	509501	B	0.968253	0.998982	0.967268
30	2	44467	B	0.965795	0.998975	0.964805
30	3	3348	B	0.967443	0.999074	0.966547
30	4	221	B	0.968326	1.000000	0.968326
30	5	13	B	0.923077	1.000000	0.923077
30	6	10	B	0.900000	1.000000	0.900000
4	0	7066817	B	0.971882	0.995613	0.967619
4	1	509501	B	0.958530	0.998667	0.957252
4	2	44467	B	0.940495	0.997728	0.938359
4	3	3348	B	0.898746	0.998006	0.896953
4	4	221	B	0.891403	1.000000	0.891403
4	5	13	B	0.769231	0.900000	0.692308
4	6	10	B	0.600000	0.500000	0.300000
40	0	7066817	B	0.971190	0.995373	0.966696
40	1	509501	B	0.967680	0.998911	0.966626
40	2	44467	B	0.964963	0.998742	0.963748
40	3	3348	B	0.966249	0.998145	0.964456
40	4	221	B	0.972851	1.000000	0.972851
40	5	13	B	0.923077	1.000000	0.923077
40	6	10	B	1.000000	1.000000	1.000000
50	0	7023786	A	0.970972	0.995317	0.966425
50	1	548595	A	0.967841	0.998797	0.966677
50	2	48085	A	0.963897	0.998662	0.962608
50	3	3688	A	0.960412	0.999153	0.959599
50	4	231	A	0.952381	1.000000	0.952381
50	5	36	A	0.944444	1.000000	0.944444
50	6	11	A	1.000000	1.000000	1.000000
50	7	1	A	1.000000	1.000000	1.000000
60	0	7023786	A	0.970795	0.995284	0.966217
60	1	548595	A	0.967539	0.998747	0.966327
60	2	48085	A	0.963481	0.998619	0.962150
60	3	3688	A	0.959599	0.999152	0.958785
60	4	231	A	0.943723	1.000000	0.943723
60	5	36	A	0.944444	1.000000	0.944444
60	6	11	A	1.000000	1.000000	1.000000
60	7	1	A	1.000000	1.000000	1.000000
80	0	7023786	A	0.970494	0.995313	0.965946
80	1	548595	A	0.967045	0.998714	0.965802
80	2	48085	A	0.962774	0.998488	0.961318
80	3	3688	A	0.958785	0.998586	0.957430
80	4	231	A	0.948052	1.000000	0.948052
80	5	36	A	0.972222	1.000000	0.972222
80	6	11	A	1.000000	1.000000	1.000000
80	7	1	A	1.000000	1.000000	1.000000
70	0	7023786	A	0.970713	0.995259	0.966111
70	1	548595	A	0.967309	0.998747	0.966097
70	2	48085	A	0.963149	0.998618	0.961818
70	3	3688	A	0.959056	0.998869	0.957972
70	4	231	A	0.943723	1.000000	0.943723
70	5	36	A	0.944444	1.000000	0.944444
70	6	11	A	1.000000	1.000000	1.000000
70	7	1	A	1.000000	1.000000	1.000000
90	0	7023786	A	0.970389	0.995287	0.965816
90	1	548595	A	0.966828	0.998688	0.965559
90	2	48085	A	0.962379	0.998487	0.960923
90	3	3688	A	0.957972	0.998585	0.956616
90	4	231	A	0.948052	1.000000	0.948052
90	5	36	A	0.972222	1.000000	0.972222
90	6	11	A	1.000000	1.000000	1.000000
90	7	1	A	1.000000	1.000000	1.000000
100	0	7023786	A	0.970255	0.995290	0.965685
100	1	548595	A	0.966644	0.998654	0.965342
100	2	48085	A	0.962150	0.998530	0.960736
100	3	3688	A	0.957972	0.998585	0.956616
100	4	231	A	0.948052	1.000000	0.948052
100	5	36	A	0.972222	1.000000	0.972222
100	6	11	A	1.000000	1.000000	1.000000
100	7	1	A	1.000000	1.000000	1.000000
50	0	7066817	B	0.970980	0.995372	0.966486
50	1	509501	B	0.967437	0.998874	0.966347
50	2	44467	B	0.964288	0.998717	0.963051
50	3	3348	B	0.964755	0.998762	0.963560
50	4	221	B	0.972851	1.000000	0.972851
50	5	13	B	0.923077	1.000000	0.923077
50	6	10	B	0.900000	1.000000	0.900000
60	0	7066817	B	0.970806	0.995333	0.966275
60	1	509501	B	0.967101	0.998831	0.965971
60	2	44467	B	0.964018	0.998554	0.962624
60	3	3348	B	0.965651	0.998763	0.964456
60	4	221	B	0.977376	1.000000	0.977376
60	5	13	B	0.923077	1.000000	0.923077
60	6	10	B	0.900000	1.000000	0.900000
80	0	7066817	B	0.970507	0.995346	0.965991
