Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
2	A	96.954318	99.578976	96.546117
10	A	97.144443	99.579490	96.735941
8	A	97.137833	99.580379	96.730222
15	A	97.141938	99.575226	96.729304
20	A	97.133295	99.571097	96.716687
4	A	97.063952	99.580506	96.656774
6	A	97.117818	99.581130	96.711021
30	A	97.109438	99.567115	96.689065
0	B	96.775737	99.575038	96.364477
40	A	97.091023	99.562224	96.665982
2	B	96.977025	99.581222	96.570907
10	B	97.145642	99.580788	96.738396
8	B	97.142009	99.581866	96.735825
20	B	97.132867	99.572293	96.717424
6	B	97.124368	99.582830	96.719194
15	B	97.142127	99.576290	96.730526
30	B	97.109902	99.568248	96.690628
4	B	97.077112	99.582748	96.672056
40	B	97.091671	99.562912	96.667295
50	A	97.069684	99.558952	96.641560
60	A	97.050836	99.555542	96.619486
80	A	97.019123	99.557857	96.590160
70	A	97.041419	99.553228	96.607866
90	A	97.007594	99.555303	96.576204
100	A	96.993717	99.555348	96.562433
50	B	97.070174	99.562586	96.645575
60	B	97.051641	99.558651	96.623304
80	B	97.020570	99.559510	96.593204
100	B	96.995282	99.556177	96.564795
70	B	97.042119	99.555850	96.611107
90	B	97.009447	99.556350	96.579065
