Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7023786	A	0.971931	0.995637	0.967690
0	1	548595	A	0.925162	0.996936	0.922327
0	2	48085	A	0.829552	0.993507	0.824166
0	3	3688	A	0.580260	0.993925	0.576735
0	4	231	A	0.199134	0.978261	0.194805
0	5	36	A	0.194444	0.571429	0.111111
0	6	11	A	0.363636	0.000000	0.000000
0	7	1	A	0.000000	-1.000000	0.000000
2	0	7023786	A	0.971899	0.995616	0.967639
2	1	548595	A	0.947663	0.998086	0.945849
2	2	48085	A	0.896433	0.995987	0.892836
2	3	3688	A	0.773861	0.995445	0.770336
2	4	231	A	0.545455	0.992063	0.541126
2	5	36	A	0.194444	0.571429	0.111111
2	6	11	A	0.363636	0.000000	0.000000
2	7	1	A	0.000000	-1.000000	0.000000
8	0	7023786	A	0.971801	0.995544	0.967471
8	1	548595	A	0.967143	0.998980	0.966157
8	2	48085	A	0.961298	0.998572	0.959925
8	3	3688	A	0.952278	0.999715	0.952007
8	4	231	A	0.930736	1.000000	0.930736
8	5	36	A	0.916667	0.939394	0.861111
8	6	11	A	0.818182	0.666667	0.545455
8	7	1	A	1.000000	1.000000	1.000000
6	0	7023786	A	0.971836	0.995562	0.967523
6	1	548595	A	0.964573	0.998879	0.963492
6	2	48085	A	0.952730	0.997992	0.950816
6	3	3688	A	0.926790	0.998830	0.925705
6	4	231	A	0.874459	1.000000	0.874459
6	5	36	A	0.861111	0.935484	0.805556
6	6	11	A	0.818182	0.666667	0.545455
6	7	1	A	0.000000	-1.000000	0.000000
10	0	7023786	A	0.971760	0.995526	0.967412
10	1	548595	A	0.968270	0.999059	0.967358
10	2	48085	A	0.964688	0.998707	0.963440
10	3	3688	A	0.960141	0.999718	0.959870
10	4	231	A	0.948052	1.000000	0.948052
10	5	36	A	0.972222	0.971429	0.944444
10	6	11	A	0.818182	0.666667	0.545455
10	7	1	A	1.000000	1.000000	1.000000
15	0	7023786	A	0.971668	0.995487	0.967282
15	1	548595	A	0.968981	0.999067	0.968077
15	2	48085	A	0.966559	0.998644	0.965249
15	3	3688	A	0.962581	0.999718	0.962310
15	4	231	A	0.952381	1.000000	0.952381
15	5	36	A	0.916667	1.000000	0.916667
15	6	11	A	0.818182	1.000000	0.818182
15	7	1	A	1.000000	1.000000	1.000000
4	0	7023786	A	0.971877	0.995584	0.967585
4	1	548595	A	0.959086	0.998586	0.957730
4	2	48085	A	0.934241	0.997173	0.931600
4	3	3688	A	0.872289	0.998135	0.870662
4	4	231	A	0.727273	1.000000	0.727273
4	5	36	A	0.555556	0.900000	0.500000
4	6	11	A	0.454545	0.400000	0.181818
4	7	1	A	0.000000	-1.000000	0.000000
30	0	7023786	A	0.971388	0.995428	0.966947
30	1	548595	A	0.968773	0.998975	0.967780
30	2	48085	A	0.966164	0.998795	0.964999
30	3	3688	A	0.959870	0.999718	0.959599
30	4	231	A	0.956710	1.000000	0.956710
30	5	36	A	0.944444	1.000000	0.944444
30	6	11	A	1.000000	1.000000	1.000000
30	7	1	A	1.000000	1.000000	1.000000
20	0	7023786	A	0.971563	0.995462	0.967154
20	1	548595	A	0.969114	0.999065	0.968208
20	2	48085	A	0.967079	0.998753	0.965873
20	3	3688	A	0.962310	0.999718	0.962039
20	4	231	A	0.956710	1.000000	0.956710
20	5	36	A	0.916667	1.000000	0.916667
20	6	11	A	1.000000	1.000000	1.000000
20	7	1	A	1.000000	1.000000	1.000000
40	0	7023786	A	0.971265	0.995403	0.966800
40	1	548595	A	0.968160	0.998919	0.967114
40	2	48085	A	0.964999	0.998772	0.963814
40	3	3688	A	0.959870	0.998588	0.958514
40	4	231	A	0.961039	1.000000	0.961039
40	5	36	A	0.944444	1.000000	0.944444
40	6	11	A	1.000000	1.000000	1.000000
40	7	1	A	1.000000	1.000000	1.000000
0	0	7066817	B	0.971943	0.995668	0.967732
0	1	509501	B	0.924858	0.997129	0.922202
0	2	44467	B	0.827872	0.993752	0.822700
0	3	3348	B	0.577360	0.991723	0.572581
0	4	221	B	0.167421	1.000000	0.167421
0	5	13	B	0.307692	0.750000	0.230769
0	6	10	B	0.300000	0.000000	0.000000
50	0	7023786	A	0.971091	0.995401	0.966625
50	1	548595	A	0.968006	0.998898	0.966939
50	2	48085	A	0.964729	0.998793	0.963565
50	3	3688	A	0.959599	0.998870	0.958514
50	4	231	A	0.952381	1.000000	0.952381
50	5	36	A	0.944444	1.000000	0.944444
50	6	11	A	1.000000	1.000000	1.000000
50	7	1	A	1.000000	1.000000	1.000000
60	0	7023786	A	0.970937	0.995433	0.966503
60	1	548595	A	0.967898	0.998844	0.966779
60	2	48085	A	0.964313	0.998728	0.963086
60	3	3688	A	0.961226	0.999154	0.960412
60	4	231	A	0.952381	1.000000	0.952381
60	5	36	A	0.944444	1.000000	0.944444
60	6	11	A	1.000000	1.000000	1.000000
60	7	1	A	1.000000	1.000000	1.000000
70	0	7023786	A	0.970840	0.995436	0.966409
70	1	548595	A	0.967605	0.998808	0.966451
70	2	48085	A	0.963689	0.998662	0.962400
70	3	3688	A	0.958785	0.997455	0.956345
70	4	231	A	0.952381	1.000000	0.952381
70	5	36	A	0.944444	1.000000	0.944444
70	6	11	A	1.000000	1.000000	1.000000
70	7	1	A	1.000000	1.000000	1.000000
80	0	7023786	A	0.970709	0.995402	0.966246
80	1	548595	A	0.967311	0.998762	0.966113
80	2	48085	A	0.963065	0.998596	0.961714
80	3	3688	A	0.958243	0.998302	0.956616
80	4	231	A	0.956710	1.000000	0.956710
80	5	36	A	0.944444	1.000000	0.944444
80	6	11	A	1.000000	1.000000	1.000000
80	7	1	A	1.000000	1.000000	1.000000
90	0	7023786	A	0.970565	0.995379	0.966080
90	1	548595	A	0.967182	0.998749	0.965971
90	2	48085	A	0.962733	0.998509	0.961298
90	3	3688	A	0.958785	0.998869	0.957701
90	4	231	A	0.961039	1.000000	0.961039
90	5	36	A	0.944444	1.000000	0.944444
90	6	11	A	1.000000	1.000000	1.000000
90	7	1	A	1.000000	1.000000	1.000000
2	0	7066817	B	0.971911	0.995642	0.967675
2	1	509501	B	0.947857	0.998228	0.946177
2	2	44467	B	0.897385	0.996241	0.894011
2	3	3348	B	0.787037	0.994307	0.782557
2	4	221	B	0.628959	1.000000	0.628959
2	5	13	B	0.384615	0.800000	0.307692
2	6	10	B	0.300000	0.000000	0.000000
10	0	7066817	B	0.971772	0.995555	0.967453
10	1	509501	B	0.967959	0.999120	0.967107
10	2	44467	B	0.965053	0.999068	0.964153
10	3	3348	B	0.961768	0.999379	0.961171
10	4	221	B	0.968326	1.000000	0.968326
10	5	13	B	1.000000	0.923077	0.923077
10	6	10	B	0.700000	0.571429	0.400000
4	0	7066817	B	0.971886	0.995615	0.967624
4	1	509501	B	0.959144	0.998733	0.957929
4	2	44467	B	0.934378	0.997425	0.931972
4	3	3348	B	0.884707	0.997974	0.882915
4	4	221	B	0.855204	1.000000	0.855204
4	5	13	B	0.538462	0.857143	0.461538
4	6	10	B	0.300000	0.000000	0.000000
15	0	7066817	B	0.971679	0.995508	0.967315
15	1	509501	B	0.968640	0.999102	0.967770
15	2	44467	B	0.966784	0.998953	0.965772
15	3	3348	B	0.967443	0.999383	0.966846
15	4	221	B	0.972851	1.000000	0.972851
15	5	13	B	0.846154	1.000000	0.846154
15	6	10	B	0.700000	1.000000	0.700000
6	0	7066817	B	0.971845	0.995594	0.967562
6	1	509501	B	0.964679	0.998985	0.963700
6	2	44467	B	0.954033	0.998326	0.952437
6	3	3348	B	0.931004	0.999358	0.930406
6	4	221	B	0.932127	1.000000	0.932127
6	5	13	B	0.923077	0.916667	0.846154
6	6	10	B	0.400000	0.250000	0.100000
8	0	7066817	B	0.971810	0.995572	0.967507
8	1	509501	B	0.967038	0.999079	0.966147
8	2	44467	B	0.962512	0.998949	0.961500
8	3	3348	B	0.951912	0.999059	0.951016
8	4	221	B	0.959276	1.000000	0.959276
8	5	13	B	0.923077	0.916667	0.846154
8	6	10	B	0.600000	0.500000	0.300000
20	0	7066817	B	0.971574	0.995490	0.967192
20	1	509501	B	0.968722	0.999115	0.967865
20	2	44467	B	0.966852	0.999023	0.965907
20	3	3348	B	0.967443	0.999383	0.966846
20	4	221	B	0.968326	1.000000	0.968326
20	5	13	B	0.846154	1.000000	0.846154
20	6	10	B	1.000000	1.000000	1.000000
30	0	7066817	B	0.971401	0.995456	0.966987
30	1	509501	B	0.968340	0.999062	0.967431
30	2	44467	B	0.966177	0.998976	0.965188
30	3	3348	B	0.966547	0.999382	0.965950
30	4	221	B	0.972851	1.000000	0.972851
30	5	13	B	0.923077	1.000000	0.923077
30	6	10	B	0.900000	1.000000	0.900000
40	0	7066817	B	0.971280	0.995430	0.966842
40	1	509501	B	0.967729	0.998960	0.966722
40	2	44467	B	0.965030	0.998975	0.964041
40	3	3348	B	0.965054	0.997833	0.962963
40	4	221	B	0.972851	1.000000	0.972851
40	5	13	B	0.923077	1.000000	0.923077
40	6	10	B	0.900000	1.000000	0.900000
60	0	7066817	B	0.970951	0.995470	0.966552
60	1	509501	B	0.967421	0.998892	0.966349
60	2	44467	B	0.964311	0.998951	0.963299
60	3	3348	B	0.966249	0.998454	0.964755
60	4	221	B	0.972851	1.000000	0.972851
60	5	13	B	0.923077	1.000000	0.923077
60	6	10	B	0.900000	1.000000	0.900000
50	0	7066817	B	0.971103	0.995441	0.966676
50	1	509501	B	0.967566	0.998927	0.966528
50	2	44467	B	0.964985	0.998975	0.963996
50	3	3348	B	0.965352	0.998762	0.964158
50	4	221	B	0.972851	1.000000	0.972851
50	5	13	B	0.923077	1.000000	0.923077
50	6	10	B	1.000000	1.000000	1.000000
70	0	7066817	B	0.970856	0.995473	0.966462
70	1	509501	B	0.967099	0.998863	0.966000
70	2	44467	B	0.963748	0.998833	0.962624
70	3	3348	B	0.963560	0.997520	0.961171
70	4	221	B	0.972851	1.000000	0.972851
70	5	13	B	0.923077	1.000000	0.923077
70	6	10	B	0.900000	1.000000	0.900000
80	0	7066817	B	0.970730	0.995442	0.966305
80	1	509501	B	0.966801	0.998806	0.965647
