Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
2	A	96.956574	99.579121	96.548504
8	A	97.138817	99.581085	96.731888
6	A	97.116717	99.581503	96.710287
10	A	97.145755	99.580116	96.737856
15	A	97.143656	99.576597	96.732347
4	A	97.066051	99.580771	96.659122
30	A	97.116087	99.570561	96.699033
20	A	97.135328	99.574319	96.721841
40	A	97.099601	99.567800	96.679937
0	B	96.775737	99.575038	96.364477
50	A	97.082301	99.567467	96.662388
60	A	97.067139	99.570034	96.649784
70	A	97.055558	99.569902	96.638124
80	A	97.040987	99.566472	96.620286
100	A	96.993717	99.555348	96.562433
90	A	97.026585	99.564190	96.603734
2	B	96.977576	99.581278	96.571510
10	B	97.147282	99.581443	96.740665
4	B	97.077243	99.583154	96.672581
15	B	97.144540	99.576922	96.733543
6	B	97.124198	99.583572	96.719745
8	B	97.142717	99.582584	96.737228
20	B	97.135373	99.575369	96.722906
30	B	97.116407	99.571816	96.700570
40	B	97.100379	99.568679	96.681565
60	B	97.067406	99.571910	96.651871
50	B	97.082804	99.569546	96.664908
70	B	97.056035	99.571968	96.640604
80	B	97.042040	99.568717	96.623514
90	B	97.027783	99.566369	96.607041
100	B	96.995282	99.556177	96.564795
