Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
4	A	96.913640	94.425243	91.510940
6	A	96.971350	94.444885	91.584480
50	A	96.920040	94.395205	91.487870
15	A	96.995680	94.442742	91.605380
60	A	96.910290	94.388790	91.472450
80	A	96.883790	94.367634	91.426940
90	A	96.864700	94.359070	91.400630
2	A	96.788340	94.388973	91.357520
10	A	97.003420	94.450639	91.620350
30	A	96.957090	94.418768	91.545690
20	A	96.983800	94.433338	91.585040
40	A	96.935090	94.404255	91.510850
100	A	96.823430	94.335968	91.339320
70	A	96.898350	94.378521	91.451230
0	B	96.608480	94.346469	91.146690
4	B	96.926530	94.443255	91.540570
6	B	96.976110	94.460904	91.604510
50	B	96.920560	94.414054	91.506630
60	B	96.911580	94.408264	91.492540
80	B	96.885610	94.383831	91.444350
10	B	97.002900	94.464485	91.633290
20	B	96.983300	94.450643	91.601350
30	B	96.957250	94.439168	91.565620
15	B	96.995260	94.458874	91.620630
40	B	96.936120	94.422667	91.529670
2	B	96.813380	94.411847	91.403300
100	B	96.825970	94.350090	91.355390
90	B	96.866080	94.375162	91.417520
70	B	96.899840	94.395863	91.469440
8	A	96.996100	94.452231	91.614980
8	B	96.998350	94.467865	91.632270
