Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
2	A	96.794780	94.390782	91.365350
30	A	96.946890	94.411517	91.529030
50	A	96.900220	94.375730	91.450290
40	A	96.924150	94.394741	91.491300
60	A	96.881110	94.365723	91.422560
70	A	96.866370	94.356545	91.399760
90	A	96.835100	94.339108	91.353370
100	A	96.823430	94.335968	91.339320
10	A	97.002290	94.449554	91.618230
6	A	96.978330	94.443501	91.589730
20	A	96.979940	94.429033	91.577220
4	A	96.919320	94.426013	91.517050
8	A	96.999200	94.450109	91.615850
15	A	96.993010	94.440290	91.600480
80	A	96.848470	94.345879	91.372540
0	B	96.608480	94.346469	91.146690
2	B	96.820000	94.413685	91.411330
6	B	96.982900	94.460312	91.610350
10	B	97.001560	94.464223	91.631770
40	B	96.925060	94.411590	91.508490
50	B	96.901130	94.393966	91.468820
60	B	96.882250	94.383378	91.440740
4	B	96.932900	94.444879	91.548160
8	B	97.001880	94.466262	91.634050
70	B	96.867780	94.373444	91.417460
100	B	96.825970	94.350090	91.355390
15	B	96.992720	94.455697	91.615150
30	B	96.947340	94.429863	91.547240
20	B	96.979520	94.444755	91.592070
80	B	96.850510	94.360876	91.388990
90	B	96.837710	94.354090	91.370340
