Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7384662	A	0.972604	0.997720	0.970387
0	1	879681	A	0.938269	0.995351	0.933907
0	2	103226	A	0.871961	0.988546	0.861973
0	3	13592	A	0.715494	0.975219	0.697763
0	4	2223	A	0.461089	0.931707	0.429600
0	5	572	A	0.370629	0.844340	0.312937
0	6	176	A	0.386364	0.823529	0.318182
0	7	75	A	0.266667	0.800000	0.213333
0	8	19	A	0.263158	0.800000	0.210526
0	9	6	A	0.166667	1.000000	0.166667
0	10	6	A	0.333333	1.000000	0.333333
0	12	3	A	0.000000	-1.000000	0.000000
0	13	2	A	0.000000	-1.000000	0.000000
0	15	4	A	0.000000	-1.000000	0.000000
2	0	7384662	A	0.972357	0.997716	0.970137
2	1	879681	A	0.953168	0.996563	0.949892
2	2	103226	A	0.920446	0.992938	0.913946
2	3	13592	A	0.849691	0.987964	0.839464
2	4	2223	A	0.717949	0.965539	0.693207
2	5	572	A	0.657343	0.930851	0.611888
2	6	176	A	0.693182	0.852459	0.590909
2	7	75	A	0.613333	0.956522	0.586667
2	8	19	A	0.894737	0.764706	0.684211
2	9	6	A	0.833333	1.000000	0.833333
2	10	6	A	0.833333	1.000000	0.833333
2	12	3	A	0.666667	1.000000	0.666667
2	13	2	A	0.000000	-1.000000	0.000000
2	15	4	A	0.000000	-1.000000	0.000000
8	0	7384662	A	0.972255	0.997651	0.969971
8	1	879681	A	0.968135	0.997682	0.965891
8	2	103226	A	0.962897	0.996620	0.959642
8	3	13592	A	0.956224	0.994999	0.951442
8	4	2223	A	0.935223	0.984127	0.920378
8	5	572	A	0.938811	0.977654	0.917832
8	6	176	A	0.926136	0.975460	0.903409
8	7	75	A	0.866667	1.000000	0.866667
8	8	19	A	0.894737	0.941176	0.842105
8	9	6	A	1.000000	1.000000	1.000000
8	10	6	A	1.000000	1.000000	1.000000
8	12	3	A	1.000000	1.000000	1.000000
8	13	2	A	1.000000	1.000000	1.000000
8	15	4	A	0.750000	1.000000	0.750000
10	0	7384662	A	0.972204	0.997638	0.969908
10	1	879681	A	0.969014	0.997763	0.966846
10	2	103226	A	0.964844	0.996727	0.961686
10	3	13592	A	0.959903	0.995478	0.955562
10	4	2223	A	0.946919	0.986698	0.934323
10	5	572	A	0.942308	0.979592	0.923077
10	6	176	A	0.926136	0.975460	0.903409
10	7	75	A	0.866667	1.000000	0.866667
10	8	19	A	0.894737	0.941176	0.842105
10	9	6	A	1.000000	1.000000	1.000000
10	10	6	A	1.000000	1.000000	1.000000
10	12	3	A	1.000000	1.000000	1.000000
10	13	2	A	1.000000	1.000000	1.000000
10	15	4	A	0.750000	1.000000	0.750000
15	0	7384662	A	0.972107	0.997598	0.969772
15	1	879681	A	0.969455	0.997732	0.967256
15	2	103226	A	0.965881	0.996730	0.962723
15	3	13592	A	0.959903	0.995171	0.955268
15	4	2223	A	0.949618	0.989105	0.939271
15	5	572	A	0.944056	0.992593	0.937063
15	6	176	A	0.937500	0.993939	0.931818
15	7	75	A	0.866667	1.000000	0.866667
15	8	19	A	0.842105	1.000000	0.842105
15	9	6	A	0.833333	1.000000	0.833333
15	10	6	A	1.000000	1.000000	1.000000
15	12	3	A	1.000000	1.000000	1.000000
15	13	2	A	1.000000	1.000000	1.000000
15	15	4	A	0.750000	1.000000	0.750000
20	0	7384662	A	0.972036	0.997541	0.969645
20	1	879681	A	0.969491	0.997661	0.967223
20	2	103226	A	0.965852	0.996660	0.962626
20	3	13592	A	0.959903	0.995095	0.955194
20	4	2223	A	0.946469	0.987643	0.934773
20	5	572	A	0.942308	0.987013	0.930070
20	6	176	A	0.937500	0.987879	0.926136
20	7	75	A	0.866667	1.000000	0.866667
20	8	19	A	0.789474	1.000000	0.789474
20	9	6	A	0.833333	1.000000	0.833333
20	10	6	A	1.000000	1.000000	1.000000
20	12	3	A	1.000000	1.000000	1.000000
20	13	2	A	1.000000	1.000000	1.000000
20	15	4	A	0.750000	1.000000	0.750000
100	0	7384662	A	0.971174	0.997151	0.968407
100	1	879681	A	0.967379	0.997046	0.964521
100	2	103226	A	0.961754	0.995558	0.957482
100	3	13592	A	0.952251	0.993046	0.945630
100	4	2223	A	0.938372	0.988974	0.928025
100	5	572	A	0.935315	0.988785	0.924825
100	6	176	A	0.926136	0.963190	0.892045
100	7	75	A	0.893333	0.985075	0.880000
100	8	19	A	0.894737	0.941176	0.842105
100	9	6	A	1.000000	1.000000	1.000000
100	10	6	A	1.000000	1.000000	1.000000
100	12	3	A	1.000000	1.000000	1.000000
100	13	2	A	1.000000	1.000000	1.000000
100	15	4	A	0.750000	1.000000	0.750000
70	0	7384662	A	0.971441	0.997228	0.968748
70	1	879681	A	0.967921	0.997159	0.965171
70	2	103226	A	0.962684	0.995864	0.958702
70	3	13592	A	0.953428	0.993287	0.947028
70	4	2223	A	0.938821	0.988979	0.928475
70	5	572	A	0.931818	0.988743	0.921329
70	6	176	A	0.920455	0.969136	0.892045
70	7	75	A	0.893333	0.985075	0.880000
70	8	19	A	0.842105	0.937500	0.789474
70	9	6	A	0.833333	1.000000	0.833333
70	10	6	A	0.833333	1.000000	0.833333
70	12	3	A	1.000000	1.000000	1.000000
70	13	2	A	1.000000	1.000000	1.000000
70	15	4	A	0.750000	1.000000	0.750000
40	0	7384662	A	0.971768	0.997393	0.969235
40	1	879681	A	0.968690	0.997403	0.966174
40	2	103226	A	0.964118	0.996252	0.960504
40	3	13592	A	0.957549	0.993930	0.951736
40	4	2223	A	0.944220	0.989995	0.934773
40	5	572	A	0.933566	0.990637	0.924825
40	6	176	A	0.926136	0.975460	0.903409
40	7	75	A	0.906667	0.985294	0.893333
40	8	19	A	0.789474	1.000000	0.789474
40	9	6	A	0.833333	1.000000	0.833333
40	10	6	A	0.833333	1.000000	0.833333
40	12	3	A	1.000000	1.000000	1.000000
40	13	2	A	1.000000	1.000000	1.000000
40	15	4	A	0.750000	1.000000	0.750000
4	0	7384662	A	0.972330	0.997699	0.970092
4	1	879681	A	0.961545	0.997204	0.958857
4	2	103226	A	0.945828	0.995155	0.941245
4	3	13592	A	0.911566	0.993301	0.905459
4	4	2223	A	0.865497	0.976091	0.844804
4	5	572	A	0.837413	0.964509	0.807692
4	6	176	A	0.857955	0.953642	0.818182
4	7	75	A	0.800000	0.966667	0.773333
4	8	19	A	0.894737	0.941176	0.842105
4	9	6	A	1.000000	1.000000	1.000000
4	10	6	A	1.000000	1.000000	1.000000
4	12	3	A	1.000000	1.000000	1.000000
4	13	2	A	1.000000	1.000000	1.000000
4	15	4	A	0.750000	1.000000	0.750000
6	0	7384662	A	0.972293	0.997676	0.970033
6	1	879681	A	0.966171	0.997608	0.963860
6	2	103226	A	0.957898	0.996309	0.954362
6	3	13592	A	0.945409	0.994786	0.940480
6	4	2223	A	0.916779	0.983317	0.901484
6	5	572	A	0.926573	0.977358	0.905594
6	6	176	A	0.926136	0.975460	0.903409
6	7	75	A	0.866667	1.000000	0.866667
6	8	19	A	0.894737	0.941176	0.842105
6	9	6	A	1.000000	1.000000	1.000000
6	10	6	A	1.000000	1.000000	1.000000
6	12	3	A	1.000000	1.000000	1.000000
6	13	2	A	1.000000	1.000000	1.000000
6	15	4	A	0.750000	1.000000	0.750000
30	0	7384662	A	0.971870	0.997473	0.969415
30	1	879681	A	0.969141	0.997553	0.966770
30	2	103226	A	0.964864	0.996496	0.961483
30	3	13592	A	0.957843	0.994239	0.952325
30	4	2223	A	0.946019	0.988588	0.935223
30	5	572	A	0.937063	0.990672	0.928322
30	6	176	A	0.937500	0.981818	0.920455
30	7	75	A	0.893333	0.985075	0.880000
30	8	19	A	0.789474	1.000000	0.789474
30	9	6	A	0.833333	1.000000	0.833333
30	10	6	A	0.833333	1.000000	0.833333
30	12	3	A	1.000000	1.000000	1.000000
30	13	2	A	1.000000	1.000000	1.000000
30	15	4	A	0.750000	1.000000	0.750000
50	0	7384662	A	0.971632	0.997325	0.969033
50	1	879681	A	0.968374	0.997347	0.965805
50	2	103226	A	0.963362	0.996008	0.959516
50	3	13592	A	0.956298	0.993768	0.950338
50	4	2223	A	0.941071	0.990440	0.932074
50	5	572	A	0.935315	0.988785	0.924825
50	6	176	A	0.931818	0.969512	0.903409
50	7	75	A	0.893333	0.985075	0.880000
50	8	19	A	0.842105	0.937500	0.789474
50	9	6	A	0.833333	1.000000	0.833333
50	10	6	A	0.833333	1.000000	0.833333
50	12	3	A	1.000000	1.000000	1.000000
50	13	2	A	1.000000	1.000000	1.000000
50	15	4	A	0.750000	1.000000	0.750000
60	0	7384662	A	0.971513	0.997263	0.968854
60	1	879681	A	0.968136	0.997198	0.965424
60	2	103226	A	0.962945	0.995936	0.959032
60	3	13592	A	0.954532	0.993680	0.948499
60	4	2223	A	0.939271	0.988506	0.928475
60	5	572	A	0.931818	0.988743	0.921329
60	6	176	A	0.931818	0.969512	0.903409
60	7	75	A	0.893333	0.985075	0.880000
60	8	19	A	0.842105	0.937500	0.789474
60	9	6	A	0.833333	1.000000	0.833333
60	10	6	A	0.833333	1.000000	0.833333
60	12	3	A	1.000000	1.000000	1.000000
60	13	2	A	1.000000	1.000000	1.000000
60	15	4	A	0.750000	1.000000	0.750000
80	0	7384662	A	0.971359	0.997195	0.968635
80	1	879681	A	0.967709	0.997127	0.964928
80	2	103226	A	0.962277	0.995852	0.958286
80	3	13592	A	0.953134	0.993207	0.946660
80	4	2223	A	0.938372	0.988495	0.927575
80	5	572	A	0.933566	0.988764	0.923077
80	6	176	A	0.920455	0.969136	0.892045
80	7	75	A	0.893333	0.985075	0.880000
80	8	19	A	0.894737	0.941176	0.842105
80	9	6	A	1.000000	1.000000	1.000000
80	10	6	A	0.833333	1.000000	0.833333
80	12	3	A	1.000000	1.000000	1.000000
80	13	2	A	1.000000	1.000000	1.000000
80	15	4	A	0.750000	1.000000	0.750000
90	0	7384662	A	0.971283	0.997171	0.968535
90	1	879681	A	0.967518	0.997086	0.964699
90	2	103226	A	0.961860	0.995709	0.957734
90	3	13592	A	0.952472	0.993203	0.945998
90	4	2223	A	0.937922	0.989448	0.928025
90	5	572	A	0.937063	0.988806	0.926573
90	6	176	A	0.920455	0.969136	0.892045
90	7	75	A	0.893333	0.985075	0.880000
90	8	19	A	0.894737	0.941176	0.842105
90	9	6	A	1.000000	1.000000	1.000000
90	10	6	A	0.833333	1.000000	0.833333
90	12	3	A	1.000000	1.000000	1.000000
90	13	2	A	1.000000	1.000000	1.000000
90	15	4	A	0.750000	1.000000	0.750000
0	0	7384645	B	0.972607	0.997726	0.970395
0	1	879691	B	0.940437	0.995535	0.936238
0	2	103247	B	0.878185	0.989754	0.869187
