# Chr 9
# ERG/Bowtie
# Read length 25
# Ranked with Amb
Pct	Hap	Aligned	Correct	Overall
0	A	95.421720	83.453222	79.632500
0	B	95.440490	83.470255	79.664420
2	A	95.546020	83.507518	79.788110
10	A	95.637140	83.573170	79.926990
4	A	95.599310	83.545551	79.868970
8	A	95.633490	83.571195	79.922050
6	A	95.623600	83.564413	79.907300
15	A	95.641150	83.573430	79.930590
20	A	95.643450	83.573188	79.932280
30	A	95.647010	83.571175	79.933330
40	A	95.649800	83.569344	79.933910
50	A	95.652400	83.568243	79.935030
70	A	95.657380	83.565847	79.936900
80	A	95.659770	83.564491	79.937600
90	A	95.679140	83.329637	79.729080
60	A	95.654960	83.566289	79.935300
2	B	95.558860	83.520754	79.811480
10	B	95.638900	83.575627	79.930810
8	B	95.635390	83.574051	79.926370
4	B	95.606670	83.552926	79.882170
6	B	95.626670	83.568350	79.913630
15	B	95.642850	83.576430	79.934880
20	B	95.645190	83.575902	79.936330
30	B	95.648590	83.573579	79.936950
40	B	95.651120	83.571881	79.937440
50	B	95.653600	83.570404	79.938100
70	B	95.658490	83.567522	79.939430
80	B	95.660820	83.565915	79.939840
90	B	95.679400	83.329546	79.729210
60	B	95.656110	83.568431	79.938310
100	A	95.701620	82.570995	79.021780
100	B	95.701710	82.567386	79.018400
