# Chr 9
# ERG/Bowtie
# Read length 25
# Ranked with Amb+Blowup
Pct	Hap	Aligned	Correct	Overall
0	A	95.421720	83.453222	79.632500
0	B	95.440490	83.470255	79.664420
2	A	95.543790	83.507719	79.786440
4	A	95.593640	83.544711	79.863430
6	A	95.613850	83.562580	79.897400
8	A	95.620610	83.567361	79.907620
20	A	95.628100	83.566964	79.913500
10	A	95.623280	83.568206	79.910660
15	A	95.626070	83.567483	79.912300
2	B	95.556960	83.520960	79.810090
4	B	95.600720	83.552362	79.876660
8	B	95.623400	83.570475	79.912930
6	B	95.617620	83.566962	79.904740
20	B	95.630970	83.570730	79.919500
10	B	95.626110	83.571453	79.916130
15	B	95.629020	83.571577	79.918680
30	A	95.631560	83.565436	79.914930
40	A	95.634350	83.564253	79.916130
50	A	95.646310	83.435597	79.803070
70	A	95.667160	83.216445	79.610810
80	A	95.680710	82.969106	79.385430
90	A	95.686560	82.901036	79.325150
60	A	95.664810	83.217632	79.609990
30	B	95.634030	83.569196	79.920590
40	B	95.636680	83.567926	79.921590
50	B	95.648170	83.437791	79.806720
80	B	95.680920	82.966228	79.382850
90	B	95.686640	82.898563	79.322850
70	B	95.668030	83.214413	79.609590
60	B	95.665650	83.216630	79.609730
100	A	95.701620	82.570995	79.021780
100	B	95.701710	82.567386	79.018400
