# Chr 9
# ERG/Bowtie
# Read length 25
# Ranked with Popcov
Pct	Hap	Aligned	Correct	Overall
0	A	95.421720	83.453222	79.632500
2	A	95.532370	83.525343	79.793740
4	A	95.592090	83.551139	79.868280
10	A	95.644710	83.514823	79.877510
15	A	95.651420	83.447041	79.818280
6	A	95.623270	83.552706	79.895830
8	A	95.637830	83.537289	79.893250
20	A	95.655720	83.378631	79.756430
40	A	95.670030	83.124548	79.525280
30	A	95.663220	83.250480	79.640090
50	A	95.676280	83.009028	79.419950
60	A	95.681920	82.897709	79.318120
80	A	95.691860	82.723609	79.159760
70	A	95.686090	82.817105	79.244450
90	A	95.696700	82.643916	79.087500
100	A	95.701620	82.570995	79.021780
0	B	95.440490	83.470255	79.664420
2	B	95.545600	83.534773	79.813800
4	B	95.600690	83.553204	79.877440
10	B	95.645350	83.509622	79.873070
15	B	95.652120	83.442521	79.814540
6	B	95.627120	83.550388	79.896830
8	B	95.639840	83.534602	79.892360
20	B	95.656390	83.376291	79.754750
40	B	95.670370	83.121409	79.522560
30	B	95.664080	83.245519	79.636060
50	B	95.676480	83.004538	79.415820
60	B	95.682030	82.895733	79.316320
70	B	95.686250	82.814208	79.241810
80	B	95.691980	82.718876	79.155330
90	B	95.696790	82.638394	79.082290
100	B	95.701710	82.567386	79.018400
