# Chr 9
# ERG/Bowtie
# Read length 25
# Ranked with Popcov+Blowup
Pct	Hap	Aligned	Correct	Overall
0	A	95.421720	83.453222	79.632500
0	B	95.440490	83.470255	79.664420
2	A	95.529640	83.526495	79.792560
6	A	95.621000	83.556562	79.897620
4	A	95.589920	83.554239	79.869430
8	A	95.636520	83.544372	79.898930
15	A	95.650660	83.460930	79.830930
20	A	95.655020	83.401258	79.777490
30	A	95.661990	83.289350	79.676250
40	A	95.668020	83.181611	79.578200
60	A	95.677260	83.031412	79.442180
50	A	95.673080	83.094774	79.499330
70	A	95.682090	82.948293	79.366660
80	A	95.687320	82.855001	79.281730
90	A	95.693100	82.754451	79.190300
2	B	95.542810	83.534114	79.810840
4	B	95.597890	83.554512	79.876350
6	B	95.625080	83.553227	79.897840
8	B	95.638160	83.541172	79.897240
20	B	95.655810	83.397956	79.774990
15	B	95.651470	83.457515	79.828340
40	B	95.668480	83.177918	79.575050
30	B	95.662660	83.283624	79.671330
10	A	95.643510	83.522018	79.883390
60	B	95.677460	83.027988	79.439070
50	B	95.673320	83.090500	79.495440
80	B	95.687430	82.848102	79.275220
70	B	95.682300	82.944672	79.363370
90	B	95.693120	82.747474	79.183640
10	B	95.644210	83.516681	79.878870
100	A	95.701620	82.570995	79.021780
100	B	95.701710	82.567386	79.018400
