Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
6	A	96.862298	99.572848	96.448549
8	A	96.895533	99.573333	96.482112
10	A	96.922551	99.574318	96.509970
2	A	96.788758	99.571752	96.374262
4	A	96.827384	99.572342	96.413294
20	A	97.024828	99.575794	96.613243
40	A	97.113700	99.578181	96.704057
30	A	97.084872	99.577367	96.674559
60	A	97.130593	99.578660	96.721343
90	A	97.131970	99.579503	96.723533
50	A	97.126842	99.578468	96.717421
70	A	97.131078	99.578662	96.721828
80	A	97.131118	99.578784	96.721986
100	A	97.142279	99.576105	96.730498
15	A	96.981926	99.574958	96.569712
0	B	96.775737	99.575038	96.364477
6	B	96.892087	99.576618	96.481863
10	B	96.951043	99.577863	96.541776
8	B	96.924234	99.577056	96.514299
2	B	96.820317	99.575464	96.409280
40	B	97.120788	99.581464	96.714302
30	B	97.094582	99.580662	96.687428
60	B	97.135294	99.581702	96.728979
50	B	97.131477	99.581361	96.724847
70	B	97.136015	99.581624	96.729621
80	B	97.135779	99.581906	96.729661
90	B	97.136605	99.582437	96.730998
4	B	96.858143	99.576009	96.447474
100	B	97.143308	99.578509	96.733858
20	B	97.046605	99.579536	96.638558
15	B	97.006077	99.578914	96.597597
