Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
6	A	96.755785	99.568949	96.338718
4	A	96.750670	99.569522	96.334180
2	A	96.745424	99.573132	96.332449
8	A	96.759838	99.569129	96.342928
15	A	96.761215	99.569529	96.344686
50	A	96.773635	99.570234	96.357736
60	A	96.804969	99.571457	96.390118
70	A	96.877027	99.573496	96.463842
10	A	96.761267	99.569434	96.344646
80	A	97.016906	99.576098	96.605649
90	A	97.068385	99.576850	96.657640
20	A	96.760835	99.569988	96.344751
30	A	96.760743	99.570014	96.344686
40	A	96.762356	99.570239	96.346509
100	A	97.142279	99.576105	96.730498
0	B	96.775737	99.575038	96.364477
6	B	96.784406	99.571932	96.370103
4	B	96.780209	99.572402	96.366379
2	B	96.775317	99.576066	96.365054
15	B	96.787856	99.572910	96.374484
50	B	96.799476	99.573544	96.386669
60	B	96.828069	99.574726	96.416284
70	B	96.888074	99.576221	96.477483
10	B	96.788092	99.572409	96.374235
8	B	96.786951	99.572269	96.372963
80	B	97.023075	99.578825	96.614438
90	B	97.072915	99.579014	96.664252
40	B	96.788997	99.573226	96.375927
20	B	96.787423	99.572949	96.374091
100	B	97.143308	99.578509	96.733858
30	B	96.787554	99.573166	96.374432
