Pct	Hap	Aligned	Correct	Overall
0	A	96.572620	94.318421	91.085770
2	A	96.536700	94.332964	91.065930
4	A	96.548160	94.335221	91.078920
10	A	96.566510	94.347461	91.108050
20	A	96.566440	94.347684	91.108200
6	A	96.557740	94.341531	91.094050
15	A	96.566880	94.347689	91.108620
8	A	96.564460	94.346015	91.104720
0	B	96.608480	94.346469	91.146690
2	B	96.573360	94.364160	91.130640
10	B	96.598960	94.373480	91.163800
4	B	96.584030	94.364369	91.140910
6	B	96.592740	94.369018	91.153620
15	B	96.599010	94.374259	91.164600
8	B	96.597360	94.372890	91.161720
20	B	96.598640	94.374859	91.164830
30	A	96.566230	94.348842	91.109120
50	A	96.582160	94.354009	91.129140
40	A	96.568650	94.351262	91.113740
60	A	96.616630	94.364593	91.171890
70	A	96.695550	94.385254	91.266340
80	A	96.837470	94.412452	91.426630
90	A	96.894410	94.424126	91.491700
100	A	96.997610	94.441502	91.606000
30	B	96.598760	94.375352	91.165420
50	B	96.613450	94.378909	91.182720
40	B	96.600920	94.376886	91.168940
70	B	96.711480	94.406796	91.302210
60	B	96.645050	94.389366	91.222650
80	B	96.847880	94.431711	91.455110
90	B	96.902280	94.441338	91.515810
100	B	96.998300	94.457748	91.622410
