Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
4	A	96.824131	99.574482	96.412127
30	A	97.099037	99.582116	96.693275
6	A	96.861511	99.575675	96.450503
50	A	97.146752	99.582159	96.740833
20	A	97.033379	99.580130	96.625965
60	A	97.149978	99.581093	96.743010
70	A	97.149152	99.579537	96.740676
100	A	97.142279	99.576105	96.730498
40	A	97.129806	99.582640	96.724425
10	A	96.924152	99.577357	96.514508
80	A	97.147250	99.577855	96.737148
8	A	96.894051	99.576494	96.483699
2	A	96.787735	99.573102	96.374550
15	A	96.986019	99.579371	96.578067
90	A	97.145007	99.577264	96.734341
0	B	96.775737	99.575038	96.364477
4	B	96.854773	99.577782	96.445834
30	B	97.107829	99.583339	96.703219
20	B	97.055799	99.582494	96.650585
6	B	96.889700	99.578787	96.481588
50	B	97.148423	99.583338	96.743642
60	B	97.150993	99.582539	96.745426
70	B	97.150403	99.581578	96.743904
40	B	97.134586	99.583616	96.730133
10	B	96.952708	99.580603	96.546092
100	B	97.143308	99.578509	96.733858
80	B	97.148646	99.579950	96.740573
8	B	96.923604	99.579503	96.516043
2	B	96.818048	99.576863	96.408375
15	B	97.010143	99.582271	96.604903
90	B	97.146285	99.579319	96.737609
