Pct	Hap	Aligned	Correct	Overall
0	A	96.745043	99.571314	96.330311
8	A	96.896989	99.576629	96.486755
40	A	97.131551	99.583012	96.726524
10	A	96.926027	99.578014	96.517013
30	A	97.099915	99.582417	96.694443
4	A	96.825980	99.574422	96.413910
2	A	96.788207	99.573104	96.375022
20	A	97.034901	99.580367	96.627710
6	A	96.864082	99.575767	96.453153
50	A	97.147080	99.582377	96.741371
15	A	96.990688	99.579594	96.582933
0	B	96.775737	99.575038	96.364477
8	B	96.927014	99.579707	96.519637
10	B	96.954099	99.581123	96.547980
40	B	97.136658	99.584165	96.732730
2	B	96.818534	99.576811	96.408808
4	B	96.856333	99.577789	96.447395
20	B	97.055969	99.582482	96.650743
30	B	97.107711	99.583690	96.703442
6	B	96.892625	99.578800	96.484513
50	B	97.148646	99.583649	96.744167
60	A	97.150805	99.581326	96.744060
15	B	97.013290	99.582082	96.607854
70	A	97.149952	99.580418	96.742328
80	A	97.148286	99.579385	96.739666
90	A	97.146909	99.578407	96.737344
100	A	97.142279	99.576105	96.730498
60	B	97.151964	99.582692	96.746541
80	B	97.149997	99.581752	96.743668
70	B	97.151846	99.582300	96.746042
90	B	97.148449	99.580881	96.741281
100	B	97.143308	99.578509	96.733858
