Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
6	A	98.927830	94.489336	93.476250
2	A	98.834600	94.453026	93.352270
20	A	98.943940	94.499744	93.501770
30	A	98.936610	94.501611	93.496690
40	A	98.930090	94.502259	93.491170
60	A	98.922270	94.502229	93.483750
50	A	98.925470	94.502174	93.486720
90	A	98.903850	94.504653	93.468740
80	A	98.914110	94.502473	93.476280
70	A	98.918030	94.503368	93.480870
8	A	98.940690	94.495945	93.494940
10	A	98.945150	94.498053	93.501240
15	A	98.945820	94.500313	93.504110
4	A	98.897490	94.475158	93.433560
0	B	98.734810	94.435964	93.241170
2	B	98.857270	94.459092	93.379680
6	B	98.939940	94.492032	93.490360
20	B	98.951860	94.503075	93.512550
30	B	98.944740	94.502679	93.505430
40	B	98.938170	94.502445	93.498990
60	B	98.930690	94.503131	93.492600
50	B	98.933660	94.503721	93.495990
90	B	98.911290	94.505380	93.476490
15	B	98.954000	94.503941	93.515430
8	B	98.950240	94.498386	93.506380
10	B	98.953480	94.500820	93.511850
80	B	98.922160	94.503042	93.484450
70	B	98.926530	94.503487	93.489020
4	B	98.913190	94.479432	93.452620
100	A	98.805030	94.435040	93.306570
100	B	98.805830	94.430369	93.302710
