Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.849520	94.475836	93.388910
50	A	98.908300	94.524646	93.492720
70	A	98.886580	94.507192	93.454930
4	A	98.903360	94.505515	93.469130
8	A	98.921720	94.523053	93.503830
6	A	98.919690	94.520717	93.499600
10	A	98.920140	94.523380	93.502660
20	A	98.908790	94.527089	93.495600
15	A	98.914550	94.526002	93.499970
80	A	98.870470	94.485482	93.418240
30	A	98.926460	94.529077	93.514270
40	A	98.916460	94.526088	93.501860
90	A	98.854630	94.471852	93.389800
100	A	98.805030	94.435040	93.306570
60	A	98.898160	94.516511	93.475090
0	B	98.734810	94.435964	93.241170
2	B	98.870110	94.479504	93.411990
4	B	98.917910	94.504575	93.481950
10	B	98.930560	94.522663	93.511800
50	B	98.913240	94.517124	93.489950
30	B	98.932650	94.526024	93.517100
6	B	98.931240	94.518476	93.508300
8	B	98.932150	94.520578	93.511240
60	B	98.902000	94.510384	93.472660
70	B	98.890190	94.501163	93.452380
20	B	98.919030	94.522975	93.501210
15	B	98.924730	94.523786	93.507400
90	B	98.856980	94.468534	93.388740
40	B	98.921060	94.519195	93.499390
80	B	98.873030	94.482277	93.417490
100	B	98.805830	94.430369	93.302710
