Pct	Hap	Aligned	Correct	Overall
0	A	93.927500	91.799526	86.225000
2	A	94.343830	91.877264	86.680530
4	A	94.517150	91.924122	86.884060
6	A	94.576000	91.944204	86.957150
10	A	94.587400	91.949319	86.972470
8	A	94.587550	91.947154	86.970560
15	A	94.581520	91.954052	86.971540
100	A	94.668560	91.839096	86.942750
20	A	94.573770	91.960889	86.970880
40	A	94.657920	91.968469	87.055440
80	A	94.668160	91.911927	87.011330
30	A	94.651220	91.972327	87.052930
90	A	94.672020	91.889959	86.994080
50	A	94.648310	91.969925	87.047980
70	A	94.658110	91.942793	87.031310
60	A	94.655180	91.955792	87.040920
0	B	93.997760	91.817965	86.306830
2	B	94.395750	91.890991	86.741190
4	B	94.551100	91.931675	86.922410
6	B	94.600300	91.949370	86.984380
10	B	94.609270	91.953547	86.996580
8	B	94.609110	91.950839	86.993870
15	B	94.604030	91.957605	86.995600
20	B	94.596300	91.964707	86.995210
100	B	94.672870	91.833637	86.941540
30	B	94.666780	91.972041	87.066970
40	B	94.671150	91.967870	87.067040
80	B	94.675090	91.909456	87.015360
50	B	94.661620	91.968931	87.059280
90	B	94.678220	91.886835	86.996820
70	B	94.666700	91.941200	87.037700
60	B	94.664620	91.953340	87.047280
