Pct	Hap	Aligned	Correct	Overall
0	A	93.927500	91.799526	86.225000
2	A	94.370190	91.878770	86.706170
4	A	94.584230	91.932439	86.953590
8	A	94.747060	91.975023	87.143630
6	A	94.697590	91.961305	87.085140
10	A	94.767560	91.981655	87.168770
15	A	94.769870	91.985575	87.174610
20	A	94.760040	91.986749	87.166680
30	A	94.744490	91.987260	87.152860
40	A	94.732560	91.986958	87.141600
50	A	94.722660	91.988295	87.133760
60	A	94.715070	91.989986	87.128380
70	A	94.710000	91.991976	87.125600
80	A	94.702300	91.993215	87.119690
90	A	94.697020	91.995556	87.117050
100	A	94.668560	91.839096	86.942750
0	B	93.997760	91.817965	86.306830
2	B	94.419560	91.892263	86.764270
4	B	94.614860	91.938740	86.987710
8	B	94.754890	91.975454	87.151240
6	B	94.712800	91.962153	87.099930
10	B	94.771860	91.980172	87.171320
15	B	94.772740	91.983750	87.175520
20	B	94.764060	91.985137	87.168850
30	B	94.747640	91.985109	87.153720
40	B	94.735770	91.984759	87.142470
50	B	94.726190	91.986113	87.134940
60	B	94.719020	91.988114	87.130240
70	B	94.713940	91.990598	87.127920
80	B	94.706930	91.992254	87.123040
90	B	94.700750	91.994551	87.119530
100	B	94.672870	91.833637	86.941540
