Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.861820	94.475400	93.400100
6	A	98.964620	94.526761	93.548050
10	A	98.984150	94.539904	93.579520
8	A	98.979130	94.536687	93.571590
15	A	98.981070	94.540097	93.576800
20	A	98.974560	94.540587	93.571130
4	A	98.931740	94.506647	93.497070
30	A	98.964220	94.537602	93.558400
40	A	98.957320	94.536635	93.550920
0	B	98.734810	94.435964	93.241170
50	A	98.949640	94.535887	93.542920
60	A	98.943920	94.536238	93.537860
70	A	98.937980	94.537204	93.533200
80	A	98.932480	94.536789	93.527590
90	A	98.928250	94.536919	93.523720
100	A	98.805030	94.435040	93.306570
2	B	98.882070	94.479262	93.423050
8	B	98.982910	94.533198	93.571710
10	B	98.986030	94.535199	93.576640
15	B	98.982320	94.537802	93.575710
4	B	98.943310	94.507673	93.509020
20	B	98.976000	94.537534	93.569470
30	B	98.965680	94.536268	93.558460
6	B	98.971620	94.523228	93.551170
40	B	98.958380	94.533884	93.549200
50	B	98.950970	94.533596	93.541910
60	B	98.945690	94.532677	93.536010
70	B	98.938540	94.531342	93.527930
80	B	98.934010	94.532982	93.525270
90	B	98.929670	94.532611	93.520800
100	B	98.805830	94.430369	93.302710
