Pct	Hap	Aligned	Correct	Overall
0	A	98.669530	94.429233	93.172880
4	A	98.886760	94.492498	93.440570
6	A	98.922290	94.506152	93.487650
8	A	98.943540	94.514660	93.516150
2	A	98.818230	94.465788	93.349420
10	A	98.956540	94.518331	93.532070
15	A	98.966140	94.523743	93.546500
20	A	98.963570	94.524147	93.544470
30	A	98.956110	94.522966	93.536250
40	A	98.950500	94.523646	93.531620
50	A	98.944980	94.523552	93.526310
0	B	98.668900	94.431558	93.174580
4	B	98.889420	94.499958	93.450460
6	B	98.924570	94.515154	93.498710
2	B	98.818110	94.471600	93.355050
8	B	98.945600	94.524193	93.527530
10	B	98.959580	94.529666	93.546160
15	B	98.968080	94.534389	93.558870
20	B	98.964730	94.534922	93.556230
30	B	98.957480	94.532561	93.547040
40	B	98.951370	94.532031	93.540740
50	B	98.945510	94.531374	93.534550
60	A	98.938760	94.523926	93.520800
70	A	98.933860	94.524079	93.516320
80	A	98.927830	94.525251	93.511780
90	A	98.924330	94.524926	93.508150
60	B	98.939450	94.530422	93.527880
70	B	98.934060	94.529558	93.521930
80	B	98.928030	94.530670	93.517330
90	B	98.924530	94.530720	93.514070
100	A	98.802410	94.433678	93.302750
100	B	98.802130	94.437873	93.306630
