Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.849450	94.475073	93.388090
6	A	98.919700	94.519989	93.498890
8	A	98.921910	94.522033	93.503000
10	A	98.920260	94.522467	93.501870
20	A	98.909120	94.525753	93.494590
4	A	98.903420	94.504710	93.468390
15	A	98.914390	94.525650	93.499470
30	A	98.925140	94.529773	93.513710
40	A	98.916540	94.525435	93.501290
50	A	98.909040	94.523979	93.492760
0	B	98.734810	94.435964	93.241170
60	A	98.898730	94.515450	93.474580
70	A	98.887120	94.506302	93.454560
80	A	98.870570	94.485943	93.418790
90	A	98.854700	94.471482	93.389500
100	A	98.805030	94.435040	93.306570
2	B	98.870060	94.478693	93.411140
6	B	98.931100	94.518286	93.507980
8	B	98.932280	94.519898	93.510690
10	B	98.930550	94.521773	93.510910
20	B	98.919180	94.522185	93.500570
15	B	98.924420	94.523284	93.506610
4	B	98.917910	94.504241	93.481620
30	B	98.931230	94.525520	93.515260
40	B	98.921080	94.518317	93.498540
50	B	98.913830	94.516520	93.489910
60	B	98.902470	94.509359	93.472090
70	B	98.890420	94.499498	93.450950
80	B	98.872970	94.482021	93.417180
100	B	98.805830	94.430369	93.302710
90	B	98.857040	94.467850	93.388120
