Pct	Hap	Aligned	Correct	Overall
4	A	98.861700	94.489443	93.413870
8	A	98.893300	94.504420	93.458540
6	A	98.883140	94.500862	93.445420
15	A	98.892770	94.510175	93.463730
10	A	98.895930	94.505214	93.461810
20	A	98.887240	94.512265	93.460570
30	A	98.911150	94.515623	93.486490
40	A	98.902520	94.514841	93.477560
50	A	98.895080	94.514793	93.470480
80	A	98.863300	94.479084	93.405140
60	A	98.887120	94.507455	93.455700
70	A	98.878020	94.498029	93.437780
90	A	98.848900	94.468841	93.381410
0	A	98.669530	94.429233	93.172880
100	A	98.802410	94.433678	93.302750
2	A	98.807370	94.465393	93.338770
4	B	98.863810	94.497137	93.423470
8	B	98.894400	94.514674	93.469720
6	B	98.884120	94.510029	93.455410
15	B	98.892700	94.518069	93.471470
10	B	98.896240	94.516050	93.472820
20	B	98.887240	94.518615	93.466850
30	B	98.913150	94.523125	93.495800
40	B	98.904530	94.517036	93.481630
50	B	98.897020	94.515780	93.473290
70	B	98.879200	94.499733	93.440580
60	B	98.889010	94.507934	93.457960
80	B	98.864890	94.479779	93.407330
90	B	98.849570	94.469293	93.382490
0	B	98.668900	94.431558	93.174580
100	B	98.802130	94.437873	93.306630
2	B	98.806790	94.471584	93.344340
