Pct	Hap	Aligned	Correct	Overall
0	A	98.094790	91.810595	90.061410
2	A	98.331100	91.876273	90.342950
4	A	98.419640	91.920810	90.468130
8	A	98.453020	91.945143	90.522770
10	A	98.452070	91.948915	90.525610
6	A	98.447830	91.940604	90.513530
15	A	98.445740	91.951140	90.521980
20	A	98.437920	91.954645	90.518240
40	A	98.480640	91.959526	90.562330
50	A	98.472750	91.961553	90.557070
30	A	98.479880	91.964552	90.566580
70	A	98.473220	91.938986	90.535280
80	A	98.475880	91.909785	90.508970
60	A	98.473020	91.949561	90.545510
90	A	98.473300	91.887689	90.484840
0	B	98.140160	91.827097	90.119260
2	B	98.362830	91.888094	90.383730
4	B	98.439700	91.926662	90.492330
6	B	98.463460	91.945804	90.533020
8	B	98.466430	91.949409	90.539300
10	B	98.465140	91.953538	90.542180
15	B	98.458910	91.956482	90.539350
20	B	98.450950	91.959864	90.535360
40	B	98.488690	91.961158	90.571340
50	B	98.480640	91.963233	90.565980
30	B	98.488380	91.967012	90.576820
60	B	98.480250	91.950264	90.552850
70	B	98.479070	91.938886	90.540560
80	B	98.481470	91.909585	90.513910
90	B	98.478680	91.886386	90.488500
100	A	98.464010	91.834509	90.423940
100	B	98.467940	91.832377	90.425450
