Pct	Hap	Aligned	Correct	Overall
0	A	98.993695	94.454101	93.503605
2	A	99.120170	94.494556	93.663165
4	A	99.167525	94.522834	93.735955
8	A	99.185270	94.538877	93.768640
6	A	99.182575	94.536702	93.763935
10	A	99.184670	94.541036	93.770215
15	A	99.180855	94.542319	93.767880
20	A	99.176275	94.543418	93.764640
40	A	99.196835	94.540592	93.781275
30	A	99.197675	94.546057	93.787490
50	A	99.192460	94.542332	93.778865
70	A	99.190650	94.525043	93.760005
80	A	99.190565	94.505375	93.740415
60	A	99.191625	94.533863	93.769675
90	A	99.187750	94.490252	93.722755
0	B	99.017895	94.463647	93.535915
2	B	99.137000	94.500716	93.685175
4	B	99.178295	94.525672	93.748950
6	B	99.190945	94.539013	93.774140
8	B	99.192340	94.540622	93.777055
10	B	99.191570	94.543014	93.778700
15	B	99.187920	94.544628	93.776850
20	B	99.183205	94.545548	93.773305
40	B	99.201075	94.541269	93.785955
50	B	99.196560	94.543082	93.783485
30	B	99.202235	94.546862	93.792600
60	B	99.195455	94.533641	93.773075
70	B	99.193630	94.524538	93.762320
80	B	99.193395	94.504493	93.742215
90	B	99.190610	94.488616	93.723835
100	A	99.180130	94.457448	93.683020
100	B	99.182180	94.455667	93.683190
