Pct	Hap	Aligned	Correct	Overall
0	A	98.471510	94.401883	92.958960
6	A	98.784480	94.504167	93.355450
4	A	98.757670	94.487203	93.313360
10	A	98.788160	94.512541	93.367200
8	A	98.789150	94.509913	93.365540
15	A	98.782990	94.513701	93.363460
2	A	98.677040	94.454070	93.204480
20	A	98.775850	94.516706	93.359680
30	A	98.809010	94.521927	93.396180
50	A	98.795450	94.507369	93.368980
40	A	98.804490	94.515148	93.385210
70	A	98.776050	94.485536	93.329080
80	A	98.765090	94.476236	93.309540
60	A	98.788810	94.506038	93.361390
90	A	98.748720	94.460131	93.278170
0	B	98.506650	94.401535	92.991790
10	B	98.804070	94.496988	93.366870
8	B	98.805110	94.496105	93.366980
2	B	98.705480	94.447755	93.225110
6	B	98.801640	94.491893	93.359540
4	B	98.776790	94.476182	93.320540
15	B	98.798150	94.497174	93.361460
20	B	98.791320	94.498019	93.355840
30	B	98.819840	94.503705	93.388410
40	B	98.811690	94.498424	93.375490
50	B	98.800170	94.488896	93.355190
80	B	98.767030	94.457493	93.292860
70	B	98.779480	94.467029	93.314040
60	B	98.793110	94.488016	93.347650
90	B	98.752010	94.442351	93.263720
100	A	98.687390	94.423269	93.183860
100	B	98.687980	94.407293	93.168650
