Pct	Hap	Aligned	Correct	Overall
0	A	98.094790	91.810595	90.061410
2	A	98.353800	91.877386	90.364900
4	A	98.468020	91.926099	90.517810
6	A	98.524240	91.953290	90.596280
8	A	98.547580	91.965891	90.630160
10	A	98.555860	91.972289	90.644080
15	A	98.552470	91.978101	90.646690
20	A	98.544510	91.977818	90.639090
30	A	98.530890	91.978617	90.627350
40	A	98.523680	91.978436	90.620540
50	A	98.517070	91.978162	90.614190
80	A	98.500390	91.985859	90.606430
70	A	98.505860	91.982558	90.608210
90	A	98.496880	91.986924	90.604250
60	A	98.510510	91.980216	90.610180
0	B	98.140160	91.827097	90.119260
2	B	98.383680	91.889153	90.403930
4	B	98.484000	91.932222	90.538530
6	B	98.532600	91.955454	90.606100
8	B	98.552050	91.969289	90.637620
10	B	98.558540	91.974232	90.648460
15	B	98.554450	91.980717	90.651090
20	B	98.547260	91.980690	90.644450
30	B	98.534190	91.981829	90.633550
40	B	98.527070	91.980803	90.625990
50	B	98.520840	91.981027	90.620480
80	B	98.504130	91.988397	90.612370
70	B	98.509560	91.985275	90.614290
90	B	98.500700	91.989184	90.609990
60	B	98.514040	91.983133	90.616300
100	A	98.464010	91.834509	90.423940
100	B	98.467940	91.832377	90.425450
