Pct	Hap	Aligned	Correct	Overall
0	A	98.993695	94.454101	93.503605
2	A	99.132200	94.494508	93.674485
6	A	99.223240	94.542277	93.807910
4	A	99.193235	94.524647	93.762055
8	A	99.235555	94.550774	93.827985
10	A	99.239795	94.554725	93.835915
15	A	99.237700	94.557376	93.836565
20	A	99.233285	94.557033	93.832050
30	A	99.225855	94.557311	93.825300
40	A	99.221650	94.557337	93.821350
50	A	99.217840	94.557189	93.817600
80	A	99.208070	94.561763	93.812900
70	A	99.211125	94.559335	93.813380
90	A	99.205910	94.562184	93.811275
60	A	99.214055	94.558261	93.815085
0	B	99.017895	94.463647	93.535915
2	B	99.148035	94.500779	93.695665
4	B	99.201730	94.527646	93.773060
6	B	99.227590	94.542743	93.812485
8	B	99.237945	94.551943	93.831405
10	B	99.241250	94.554890	93.837455
15	B	99.238755	94.558013	93.838195
20	B	99.234740	94.557717	93.834105
30	B	99.227605	94.558283	93.827920
40	B	99.223425	94.557752	93.823440
50	B	99.219845	94.557873	93.820175
80	B	99.210100	94.562383	93.815435
70	B	99.213155	94.560091	93.816050
90	B	99.207985	94.562650	93.813700
60	B	99.215965	94.558965	93.817590
100	A	99.180130	94.457448	93.683020
100	B	99.182180	94.455667	93.683190
