Pct	Hap	Aligned	Correct	Overall
0	A	98.471510	94.401883	92.958960
2	A	98.695430	94.452884	93.220680
4	A	98.799620	94.489776	93.355540
10	A	98.888850	94.531052	93.480670
6	A	98.853550	94.511983	93.428450
15	A	98.889850	94.535870	93.486380
8	A	98.878090	94.525228	93.464740
20	A	98.883310	94.534426	93.478770
30	A	98.869820	94.532831	93.464440
80	A	98.834880	94.529563	93.428180
70	A	98.841530	94.529668	93.434570
60	A	98.848670	94.530002	93.441650
90	A	98.828290	94.530412	93.422790
40	A	98.863190	94.531251	93.456610
50	A	98.854680	94.529900	93.447230
0	B	98.506650	94.401535	92.991790
6	B	98.863680	94.497878	93.424080
4	B	98.815900	94.479380	93.360650
2	B	98.721350	94.448121	93.240460
8	B	98.885130	94.511197	93.457520
10	B	98.893820	94.515370	93.469860
15	B	98.893610	94.520404	93.474640
20	B	98.886610	94.518095	93.465740
80	B	98.838470	94.514090	93.416280
30	B	98.874610	94.516742	93.453060
60	B	98.851350	94.513277	93.427650
70	B	98.843560	94.513097	93.420110
90	B	98.833240	94.513759	93.411010
40	B	98.864620	94.514135	93.441040
50	B	98.856430	94.513296	93.432470
100	A	98.687390	94.423269	93.183860
100	B	98.687980	94.407293	93.168650
