Pct	SNPs	Total	Hap	Aligned	Correct	Overall
0	0	7382023	A	0.991667	0.998393	0.990073
0	1	878831	A	0.974010	0.996449	0.970551
0	2	103050	A	0.924833	0.991406	0.916885
0	3	13663	A	0.784820	0.980696	0.769670
0	4	2239	A	0.499777	0.940125	0.469853
0	5	529	A	0.345936	0.885246	0.306238
0	6	149	A	0.248322	0.864865	0.214765
0	7	80	A	0.250000	1.000000	0.250000
0	8	22	A	0.227273	1.000000	0.227273
0	9	8	A	0.125000	1.000000	0.125000
0	10	8	A	0.125000	1.000000	0.125000
0	13	2	A	0.000000	-1.000000	0.000000
0	14	1	A	0.000000	-1.000000	0.000000
0	15	1	A	0.000000	-1.000000	0.000000
0	16	1	A	0.000000	-1.000000	0.000000
6	0	7382023	A	0.991593	0.998327	0.989934
6	1	878831	A	0.988769	0.998360	0.987148
6	2	103050	A	0.983998	0.997189	0.981232
6	3	13663	A	0.973139	0.995412	0.968675
6	4	2239	A	0.952211	0.987336	0.940152
6	5	529	A	0.945180	0.982000	0.928166
6	6	149	A	0.906040	0.992593	0.899329
6	7	80	A	0.887500	0.985915	0.875000
6	8	22	A	0.772727	1.000000	0.772727
6	9	8	A	0.875000	1.000000	0.875000
6	10	8	A	0.750000	1.000000	0.750000
6	13	2	A	0.500000	1.000000	0.500000
6	14	1	A	1.000000	1.000000	1.000000
6	15	1	A	1.000000	1.000000	1.000000
6	16	1	A	1.000000	1.000000	1.000000
2	0	7382023	A	0.991653	0.998369	0.990036
2	1	878831	A	0.982393	0.997541	0.979977
2	2	103050	A	0.959204	0.994486	0.953916
2	3	13663	A	0.893508	0.988450	0.883188
2	4	2239	A	0.769093	0.970964	0.746762
2	5	529	A	0.686200	0.950413	0.652174
2	6	149	A	0.449664	0.910448	0.409396
2	7	80	A	0.500000	0.975000	0.487500
2	8	22	A	0.772727	0.941176	0.727273
2	9	8	A	0.750000	1.000000	0.750000
2	10	8	A	0.750000	1.000000	0.750000
2	13	2	A	0.000000	-1.000000	0.000000
2	14	1	A	0.000000	-1.000000	0.000000
2	15	1	A	0.000000	-1.000000	0.000000
2	16	1	A	0.000000	-1.000000	0.000000
15	0	7382023	A	0.991437	0.998239	0.989692
15	1	878831	A	0.990508	0.998525	0.989047
15	2	103050	A	0.988462	0.997644	0.986133
15	3	13663	A	0.983166	0.996129	0.979360
15	4	2239	A	0.972309	0.992191	0.964716
15	5	529	A	0.964083	0.994118	0.958412
15	6	149	A	0.912752	0.977941	0.892617
15	7	80	A	0.900000	0.972222	0.875000
15	8	22	A	0.818182	0.944444	0.772727
15	9	8	A	0.750000	1.000000	0.750000
15	10	8	A	0.750000	1.000000	0.750000
15	13	2	A	0.500000	1.000000	0.500000
15	14	1	A	1.000000	1.000000	1.000000
15	15	1	A	1.000000	1.000000	1.000000
15	16	1	A	1.000000	1.000000	1.000000
30	0	7382023	A	0.991258	0.998123	0.989398
30	1	878831	A	0.990301	0.998363	0.988679
30	2	103050	A	0.987637	0.997327	0.984998
30	3	13663	A	0.981995	0.995901	0.977970
30	4	2239	A	0.967843	0.992155	0.960250
30	5	529	A	0.950851	0.994036	0.945180
30	6	149	A	0.906040	0.970370	0.879195
30	7	80	A	0.887500	0.971831	0.862500
30	8	22	A	0.863636	0.894737	0.772727
30	9	8	A	0.750000	1.000000	0.750000
30	10	8	A	0.750000	1.000000	0.750000
30	13	2	A	0.500000	1.000000	0.500000
30	14	1	A	1.000000	1.000000	1.000000
30	15	1	A	1.000000	1.000000	1.000000
30	16	1	A	1.000000	1.000000	1.000000
4	0	7382023	A	0.991626	0.998350	0.989990
4	1	878831	A	0.986573	0.998047	0.984647
4	2	103050	A	0.975915	0.996311	0.972314
4	3	13663	A	0.947376	0.993201	0.940935
4	4	2239	A	0.899509	0.982622	0.883877
4	5	529	A	0.875236	0.971922	0.850662
4	6	149	A	0.771812	0.991304	0.765101
4	7	80	A	0.762500	1.000000	0.762500
4	8	22	A	0.772727	1.000000	0.772727
4	9	8	A	0.875000	1.000000	0.875000
4	10	8	A	0.750000	1.000000	0.750000
4	13	2	A	0.500000	1.000000	0.500000
4	14	1	A	1.000000	1.000000	1.000000
4	15	1	A	1.000000	1.000000	1.000000
4	16	1	A	1.000000	1.000000	1.000000
70	0	7382023	A	0.990871	0.997906	0.988795
70	1	878831	A	0.989461	0.998077	0.987558
70	2	103050	A	0.986201	0.996881	0.983125
70	3	13663	A	0.978994	0.995963	0.975042
70	4	2239	A	0.961590	0.989317	0.951318
70	5	529	A	0.943289	0.987976	0.931947
70	6	149	A	0.885906	0.969697	0.859060
70	7	80	A	0.850000	0.985294	0.837500
70	8	22	A	0.863636	0.894737	0.772727
70	9	8	A	0.875000	1.000000	0.875000
