Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
6	A	98.959290	94.536056	93.552210
8	A	98.968030	94.541732	93.566090
4	A	98.928790	94.521908	93.509380
10	A	98.966770	94.541855	93.565020
15	A	98.954210	94.531339	93.542740
20	A	98.942170	94.519182	93.519330
30	A	98.916270	94.504908	93.480730
60	A	98.858000	94.461490	93.382740
70	A	98.843510	94.455175	93.362810
90	A	98.813800	94.436769	93.316560
100	A	98.805030	94.435040	93.306570
2	A	98.856060	94.491628	93.410700
40	A	98.894830	94.488488	93.444230
50	A	98.875110	94.470671	93.407980
80	A	98.825550	94.442793	93.333610
0	B	98.734810	94.435964	93.241170
6	B	98.964940	94.533296	93.554820
8	B	98.971560	94.539088	93.566810
15	B	98.955430	94.529274	93.541850
10	B	98.968060	94.537197	93.561630
20	B	98.943180	94.519289	93.520390
30	B	98.917270	94.502568	93.479360
2	B	98.875050	94.492918	93.429920
4	B	98.939090	94.519042	93.516280
60	B	98.858630	94.458815	93.380690
100	B	98.805830	94.430369	93.302710
90	B	98.814520	94.433561	93.314070
70	B	98.844090	94.452344	93.360560
80	B	98.826280	94.439951	93.331490
40	B	98.895920	94.485182	93.441990
50	B	98.875820	94.469669	93.407660
