Pct	Hap	Aligned	Correct	Overall
0	A	98.669530	94.429233	93.172880
8	A	98.930460	94.518422	93.507510
2	A	98.811390	94.474797	93.351860
6	A	98.913250	94.512282	93.485170
10	A	98.939220	94.520757	93.518100
4	A	98.881860	94.501287	93.444630
15	A	98.943160	94.515892	93.517010
20	A	98.937660	94.510291	93.506270
30	A	98.914700	94.496773	93.471200
40	A	98.893500	94.478737	93.433330
60	A	98.856170	94.454924	93.374520
90	A	98.811360	94.436389	93.313880
50	A	98.873620	94.462436	93.398430
70	A	98.841410	94.448258	93.353990
100	A	98.802410	94.433678	93.302750
80	A	98.823760	94.442733	93.331860
0	B	98.669530	94.429233	93.172880
8	B	98.930460	94.518422	93.507510
2	B	98.811390	94.474797	93.351860
10	B	98.939220	94.520757	93.518100
6	B	98.913250	94.512282	93.485170
4	B	98.881860	94.501287	93.444630
15	B	98.943160	94.515892	93.517010
30	B	98.914700	94.496773	93.471200
20	B	98.937660	94.510291	93.506270
40	B	98.893500	94.478737	93.433330
60	B	98.856170	94.454924	93.374520
50	B	98.873620	94.462436	93.398430
90	B	98.811360	94.436389	93.313880
100	B	98.802410	94.433678	93.302750
70	B	98.841410	94.448258	93.353990
80	B	98.823760	94.442733	93.331860
