Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.850560	94.489106	93.403010
6	A	98.954230	94.538162	93.549510
10	A	98.968100	94.542797	93.567210
20	A	98.946010	94.526864	93.530560
30	A	98.923740	94.512581	93.495380
80	A	98.858570	94.463434	93.385200
15	A	98.956760	94.535886	93.549650
4	A	98.923280	94.520794	93.503070
40	A	98.907210	94.497712	93.465050
8	A	98.965970	94.544428	93.566810
50	A	98.891900	94.486485	93.439480
60	A	98.883820	94.480523	93.425950
70	A	98.871530	94.472645	93.406550
100	A	98.805030	94.435040	93.306570
90	A	98.842800	94.456450	93.363400
0	B	98.734810	94.435964	93.241170
6	B	98.959560	94.534131	93.550560
15	B	98.958260	94.532968	93.548180
2	B	98.869760	94.490793	93.422820
8	B	98.968860	94.540434	93.565590
30	B	98.924900	94.511362	93.495270
20	B	98.946930	94.526177	93.530750
10	B	98.969400	94.537999	93.563690
60	B	98.885030	94.479660	93.426240
4	B	98.934410	94.517368	93.510200
80	B	98.860180	94.462270	93.385570
90	B	98.844000	94.452501	93.360630
100	B	98.805830	94.430369	93.302710
40	B	98.907890	94.496627	93.464620
50	B	98.893050	94.485083	93.439180
70	B	98.873420	94.471891	93.407590
