Pct	Hap	Aligned	Correct	Overall
0	A	98.669530	94.429233	93.172880
4	A	98.871390	94.499025	93.432500
6	A	98.906380	94.511173	93.477580
2	A	98.803790	94.474078	93.343970
8	A	98.926800	94.517269	93.502910
10	A	98.937630	94.521215	93.517050
60	A	98.885100	94.482040	93.428660
15	A	98.944790	94.521308	93.523910
20	A	98.941920	94.517561	93.517490
30	A	98.925520	94.507767	93.492300
50	A	98.897040	94.492717	93.450500
40	A	98.911960	94.500584	93.472380
70	A	98.873870	94.474546	93.410640
80	A	98.863400	94.466547	93.392840
90	A	98.846340	94.456730	93.367020
0	B	98.669530	94.429233	93.172880
4	B	98.871390	94.499025	93.432500
6	B	98.906380	94.511173	93.477580
2	B	98.803790	94.474078	93.343970
8	B	98.926800	94.517269	93.502910
10	B	98.937630	94.521215	93.517050
15	B	98.944790	94.521308	93.523910
20	B	98.941920	94.517561	93.517490
30	B	98.925520	94.507767	93.492300
60	B	98.885100	94.482040	93.428660
50	B	98.897040	94.492717	93.450500
40	B	98.911960	94.500584	93.472380
70	B	98.873870	94.474546	93.410640
80	B	98.863400	94.466547	93.392840
90	B	98.846340	94.456730	93.367020
100	A	98.802410	94.433678	93.302750
100	B	98.802410	94.433678	93.302750
