Pct	Hap	Aligned	Correct	Overall
0	A	93.927500	91.799526	86.225000
2	A	94.360130	91.900785	86.717700
4	A	94.588560	91.950729	86.974870
10	A	94.773290	91.982815	87.175140
8	A	94.753800	91.985757	87.160000
6	A	94.702500	91.978385	87.105830
15	A	94.775990	91.976860	87.171980
20	A	94.768890	91.967195	87.156290
30	A	94.750320	91.949610	87.122550
40	A	94.734310	91.926737	87.086160
70	A	94.707700	91.898494	87.034950
80	A	94.695690	91.884784	87.010930
50	A	94.723750	91.915238	87.065560
60	A	94.716220	91.910499	87.054150
90	A	94.687830	91.871014	86.990670
100	A	94.668560	91.839096	86.942750
0	B	93.997760	91.817965	86.306830
2	B	94.408100	91.909169	86.769700
4	B	94.615960	91.950903	87.000230
10	B	94.776630	91.979025	87.174620
8	B	94.760940	91.984071	87.164970
6	B	94.716620	91.975453	87.116040
15	B	94.779240	91.973875	87.172140
30	B	94.753150	91.945534	87.121290
20	B	94.771840	91.962971	87.155000
40	B	94.737420	91.923582	87.086030
70	B	94.711070	91.894738	87.034490
80	B	94.698830	91.881304	87.010520
50	B	94.725990	91.911681	87.064250
60	B	94.718790	91.907614	87.053780
90	B	94.690850	91.866648	86.989310
100	B	94.672870	91.833637	86.941540
