Pct	Hap	Aligned	Correct	Overall
0	A	98.094790	91.810595	90.061410
2	A	98.337460	91.900798	90.372910
4	A	98.463790	91.946471	90.533980
6	A	98.522490	91.970493	90.611620
8	A	98.548170	91.977314	90.641960
10	A	98.557050	91.976018	90.648850
20	A	98.546370	91.954275	90.617600
15	A	98.554120	91.966556	90.636830
30	A	98.531100	91.940697	90.590180
40	A	98.519600	91.920257	90.559470
50	A	98.508860	91.907652	90.537180
70	A	98.496910	91.886405	90.505270
60	A	98.503340	91.900457	90.525020
90	A	98.481100	91.864175	90.468850
80	A	98.489050	91.875178	90.486990
0	B	98.140160	91.827097	90.119260
4	B	98.478660	91.948733	90.549880
6	B	98.529760	91.971289	90.619090
2	B	98.367120	91.907601	90.406860
30	B	98.533110	91.940435	90.591770
20	B	98.548020	91.954947	90.619780
15	B	98.555730	91.967458	90.639200
10	B	98.558920	91.975653	90.650210
40	B	98.521950	91.920298	90.561670
8	B	98.552490	91.979208	90.647800
50	B	98.511510	91.907311	90.539280
90	B	98.484990	91.862719	90.470990
80	B	98.492430	91.873842	90.488780
60	B	98.506250	91.899397	90.526650
70	B	98.500180	91.885345	90.507230
100	A	98.464010	91.834509	90.423940
100	B	98.467940	91.832377	90.425450
