Pct	Hap	Aligned	Correct	Overall
0	A	98.993695	94.454101	93.503605
2	A	99.123440	94.507626	93.679210
4	A	99.190590	94.535323	93.770145
6	A	99.221280	94.549723	93.813445
8	A	99.234645	94.554598	93.830920
10	A	99.239135	94.552814	93.833395
15	A	99.236705	94.545819	93.824155
20	A	99.231440	94.538485	93.811900
30	A	99.222075	94.528728	93.793365
40	A	99.215060	94.514124	93.772245
50	A	99.208445	94.503709	93.755660
60	A	99.205010	94.499582	93.748320
70	A	99.200925	94.489865	93.734820
90	A	99.190525	94.474780	93.710030
80	A	99.196085	94.482625	93.723065
0	B	99.017895	94.463647	93.535915
4	B	99.198545	94.535757	93.778095
6	B	99.225040	94.549098	93.816380
2	B	99.139205	94.510749	93.697205
20	B	99.232200	94.538476	93.812610
30	B	99.223005	94.528199	93.793720
15	B	99.237490	94.546013	93.825090
10	B	99.239965	94.551772	93.833145
8	B	99.236860	94.554629	93.833045
40	B	99.216150	94.513610	93.772765
50	B	99.209675	94.502885	93.756005
90	B	99.192470	94.473230	93.710330
80	B	99.197740	94.481064	93.723080
60	B	99.206435	94.498431	93.748525
70	B	99.202545	94.488453	93.734950
100	A	99.180130	94.457448	93.683020
100	B	99.182180	94.455667	93.683190
