Pct	Hap	Aligned	Correct	Overall
0	A	98.471510	94.401883	92.958960
4	A	98.794430	94.505530	93.366200
2	A	98.686580	94.469998	93.229210
6	A	98.848920	94.524644	93.436590
15	A	98.867330	94.530711	93.459990
8	A	98.871800	94.533143	93.466620
10	A	98.877620	94.535194	93.474150
20	A	98.853430	94.521414	93.437660
30	A	98.824770	94.509160	93.398460
40	A	98.799750	94.488579	93.354480
50	A	98.780480	94.475042	93.322900
60	A	98.763310	94.464169	93.295940
70	A	98.752350	94.455788	93.277310
80	A	98.741360	94.449965	93.261180
90	A	98.723290	94.439468	93.233750
0	B	98.506650	94.401535	92.991790
4	B	98.811970	94.491750	93.369160
8	B	98.877220	94.515956	93.454750
2	B	98.713860	94.460768	93.245870
15	B	98.870960	94.512271	93.445190
6	B	98.858560	94.508397	93.429640
20	B	98.854870	94.503154	93.420970
10	B	98.882610	94.517014	93.460890
50	B	98.780550	94.456611	93.304760
60	B	98.762410	94.447229	93.278360
30	B	98.824210	94.488253	93.377270
70	B	98.752580	94.439892	93.261830
80	B	98.740990	94.434854	93.245910
40	B	98.799660	94.470993	93.337020
90	B	98.723660	94.423586	93.218420
100	A	98.687390	94.423269	93.183860
100	B	98.687980	94.407293	93.168650
