Pct	Hap	Aligned	Correct	Overall
0	A	93.927500	91.799526	86.225000
2	A	94.373570	91.902892	86.732040
4	A	94.603920	91.954456	86.992520
6	A	94.714400	91.975233	87.113790
8	A	94.759690	91.982730	87.162550
10	A	94.775390	91.981389	87.175720
15	A	94.775440	91.969502	87.164500
20	A	94.766020	91.956473	87.143490
30	A	94.745760	91.937592	87.106970
40	A	94.728250	91.910470	87.065180
50	A	94.713800	91.890400	87.032890
60	A	94.702020	91.875928	87.008360
100	A	94.668560	91.839096	86.942750
80	A	94.683330	91.851639	86.968190
70	A	94.693770	91.864269	86.989740
90	A	94.675080	91.843281	86.952700
0	B	93.997760	91.817965	86.306830
2	B	94.422710	91.911925	86.785730
4	B	94.631650	91.955250	87.018770
6	B	94.728850	91.974705	87.126580
8	B	94.768580	91.981889	87.169930
10	B	94.779010	91.978129	87.175960
30	B	94.749200	91.933357	87.106120
15	B	94.778500	91.965731	87.163740
40	B	94.731620	91.907834	87.065780
20	B	94.768410	91.952477	87.141900
60	B	94.704170	91.872438	87.007030
50	B	94.716100	91.886005	87.030840
70	B	94.696470	91.860837	86.988970
90	B	94.678560	91.838554	86.951420
100	B	94.672870	91.833637	86.941540
80	B	94.686430	91.847628	86.967240
