Pct	Hap	Aligned	Correct	Overall
0	A	98.094790	91.810595	90.061410
2	A	98.347560	91.904558	90.385890
4	A	98.474920	91.949808	90.547500
8	A	98.552860	91.974185	90.643190
6	A	98.530790	91.967831	90.616630
10	A	98.557910	91.974028	90.647680
15	A	98.552740	91.961644	90.630720
20	A	98.543830	91.944376	90.605510
30	A	98.527710	91.926809	90.573380
40	A	98.513860	91.903769	90.537950
80	A	98.476390	91.847904	90.448500
90	A	98.469910	91.839720	90.434490
50	A	98.502020	91.880106	90.503760
100	A	98.464010	91.834509	90.423940
60	A	98.492480	91.868526	90.483590
70	A	98.484130	91.861308	90.468810
0	B	98.140160	91.827097	90.119260
6	B	98.538520	91.970561	90.626430
10	B	98.560230	91.974298	90.650080
4	B	98.490070	91.952275	90.563860
15	B	98.554700	91.962169	90.633040
2	B	98.377560	91.911306	90.420100
8	B	98.557800	91.977002	90.650510
20	B	98.545700	91.945006	90.607850
30	B	98.530340	91.927167	90.576150
40	B	98.516370	91.903000	90.539500
50	B	98.504490	91.878949	90.504890
90	B	98.473570	91.837617	90.435780
60	B	98.495220	91.867240	90.484840
100	B	98.467940	91.832377	90.425450
70	B	98.487400	91.859466	90.470000
80	B	98.479980	91.845703	90.449630
