Pct	Hap	Aligned	Correct	Overall
0	A	98.993695	94.454101	93.503605
2	A	99.128775	94.509495	93.686105
8	A	99.237105	94.552406	93.831070
4	A	99.196380	94.536751	93.777035
6	A	99.225715	94.547366	93.815300
10	A	99.239265	94.551829	93.832540
15	A	99.235695	94.542936	93.820340
20	A	99.230120	94.532199	93.804415
30	A	99.220190	94.521438	93.784350
40	A	99.211825	94.505529	93.760660
80	A	99.188100	94.464376	93.697420
90	A	99.183760	94.460000	93.688980
50	A	99.204825	94.488333	93.736985
100	A	99.180130	94.457448	93.683020
60	A	99.198635	94.481759	93.724615
70	A	99.193160	94.476892	93.714615
0	B	99.017895	94.463647	93.535915
6	B	99.229730	94.548146	93.819870
10	B	99.240380	94.551074	93.832845
4	B	99.204455	94.537221	93.785135
15	B	99.236645	94.542994	93.821295
2	B	99.144745	94.512342	93.704020
8	B	99.239670	94.553247	93.834330
20	B	99.230975	94.532045	93.805070
30	B	99.221495	94.521202	93.785350
40	B	99.212995	94.504767	93.761010
50	B	99.206040	94.487301	93.737110
90	B	99.185605	94.458183	93.688920
60	B	99.200030	94.480506	93.724690
100	B	99.182180	94.455667	93.683190
70	B	99.194815	94.475326	93.714625
80	B	99.189955	94.462388	93.697200
