Pct	Hap	Aligned	Correct	Overall
0	A	98.471510	94.401883	92.958960
10	A	98.878020	94.533942	93.473290
2	A	98.692120	94.470926	93.235360
15	A	98.865910	94.529651	93.457600
8	A	98.874280	94.533927	93.469740
6	A	98.854030	94.524867	93.441640
4	A	98.801070	94.507681	93.374600
60	A	98.748980	94.452500	93.270880
50	A	98.767290	94.467116	93.302610
20	A	98.851170	94.518092	93.432240
30	A	98.821140	94.503848	93.389780
40	A	98.793310	94.483655	93.343530
90	A	98.694220	94.426036	93.193040
80	A	98.707140	94.431224	93.210360
0	B	98.506650	94.401535	92.991790
2	B	98.717920	94.462009	93.250930
10	B	98.882690	94.516148	93.460110
8	B	98.879860	94.516275	93.457560
15	B	98.868890	94.510609	93.441590
6	B	98.863150	94.508510	93.434090
4	B	98.817680	94.493698	93.376480
50	B	98.768480	94.449788	93.286620
60	B	98.749600	94.436484	93.255650
40	B	98.791430	94.465674	93.323990
20	B	98.851840	94.499566	93.414560
30	B	98.819980	94.481926	93.367020
80	B	98.709520	94.416901	93.198470
90	B	98.696340	94.410289	93.179500
100	A	98.687390	94.423269	93.183860
100	B	98.687980	94.407293	93.168650
