Pct	Hap	Aligned	Correct	Overall
0	A	98.704750	94.428282	93.205200
2	A	98.708410	94.429168	93.209530
4	A	98.713360	94.429700	93.214730
6	A	98.715720	94.429702	93.216960
8	A	98.717900	94.429055	93.218380
10	A	98.720160	94.431117	93.222550
20	A	98.736290	94.433789	93.240420
15	A	98.728290	94.431687	93.230790
0	B	98.734810	94.435964	93.241170
30	A	98.753100	94.434463	93.256960
40	A	98.767200	94.436766	93.272550
50	A	98.781010	94.435742	93.284580
60	A	98.792590	94.436101	93.295870
70	A	98.800290	94.437445	93.304470
80	A	98.808560	94.434602	93.309470
2	B	98.737740	94.436676	93.244640
4	B	98.741610	94.436074	93.247700
6	B	98.743660	94.437081	93.250630
8	B	98.745130	94.436951	93.251890
10	B	98.747050	94.438517	93.255250
15	B	98.753290	94.439011	93.261630
20	B	98.758780	94.437598	93.265420
30	B	98.772620	94.437791	93.278680
40	B	98.784650	94.440513	93.292730
50	B	98.796430	94.439698	93.303050
60	B	98.804050	94.437981	93.308550
80	B	98.815620	94.435627	93.317150
70	B	98.809040	94.439922	93.315180
90	A	98.809460	94.432982	93.308720
90	B	98.812970	94.431025	93.310100
100	A	98.805030	94.435040	93.306570
100	B	98.805830	94.430369	93.302710
