Pct	UniqueA	UniqueB	PerfectA	PerfectB
0	9077421	9080788	5022681	5056605
2	9093729	9095726	5230410	5256018
4	9101908	9102668	5346541	5362104
6	9105632	9106101	5409038	5417030
8	9106936	9107197	5438345	5442814
10	9106764	9106632	5450378	5452136
15	9104759	9104608	5459329	5460445
20	9102689	9102530	5462752	5463346
30	9099139	9098940	5465920	5466791
40	9095669	9095444	5468329	5468423
50	9092687	9092346	5469698	5469686
60	9090579	9090221	5470997	5470935
70	9088939	9088593	5472097	5472046
80	9086963	9086611	5473251	5473207
90	9085421	9085068	5474734	5474652
100	9084485	9084125	5476305	5476246
