Pct	Hap	Aligned	Correct	Overall
0	A	98.285870	93.873870	92.264750
6	A	98.450570	93.930904	92.475510
2	A	98.379470	93.906290	92.384510
80	A	98.330160	93.848296	92.281180
70	A	98.349640	93.856185	92.307220
4	A	98.426320	93.923058	92.445010
8	A	98.459330	93.932794	92.485600
30	A	98.424160	93.898978	92.419280
10	A	98.460540	93.929964	92.483950
50	A	98.389310	93.875676	92.363630
15	A	98.453820	93.921942	92.469740
60	A	98.372670	93.865878	92.338370
20	A	98.444320	93.915637	92.454610
40	A	98.404230	93.886767	92.388550
0	B	98.321990	93.890838	92.315340
6	B	98.471720	93.939559	92.503900
8	B	98.478720	93.941006	92.511900
2	B	98.410320	93.919662	92.426640
15	B	98.472240	93.930767	92.495730
10	B	98.479560	93.938671	92.510390
80	B	98.351020	93.856881	92.309200
70	B	98.369820	93.865395	92.335220
4	B	98.452440	93.932918	92.479250
30	B	98.444100	93.907669	92.446560
50	B	98.408780	93.883808	92.389910
60	B	98.392920	93.874732	92.366090
20	B	98.463210	93.923324	92.479920
40	B	98.424330	93.892750	92.413310
