Pct	Hap	Aligned	Correct	Overall
0	A	98.285870	93.873870	92.264750
10	A	98.624010	94.031535	92.737670
15	A	98.626590	94.034367	92.742890
8	A	98.615690	94.025515	92.723910
4	A	98.552720	93.986549	92.626300
80	A	98.612110	94.035824	92.730710
20	A	98.624530	94.035064	92.741640
30	A	98.621010	94.034364	92.737640
40	A	98.619090	94.034238	92.735710
60	A	98.614740	94.035395	92.732760
50	A	98.617230	94.033781	92.733510
70	A	98.613700	94.034916	92.731310
2	A	98.467740	93.941407	92.501980
6	A	98.595600	94.012481	92.692170
0	B	98.321990	93.890838	92.315340
10	B	98.626260	94.029369	92.737650
8	B	98.620130	94.025490	92.728060
4	B	98.566760	93.991128	92.644010
15	B	98.628390	94.032661	92.742900
90	A	98.611240	94.035366	92.729440
80	B	98.614030	94.032452	92.729190
20	B	98.626930	94.033830	92.742680
30	B	98.623440	94.034248	92.739810
40	B	98.621550	94.033272	92.737070
60	B	98.616890	94.034176	92.733580
50	B	98.619610	94.033945	92.735910
70	B	98.615570	94.032778	92.730960
2	B	98.491930	93.952398	92.535530
6	B	98.603950	94.013272	92.700800
90	B	98.613060	94.032373	92.728200
