Pct	Hap	Aligned	Correct	Overall
0	A	98.285870	93.873870	92.264750
2	A	98.468040	93.969993	92.530410
10	A	98.630320	94.052356	92.764140
20	A	98.628390	94.041371	92.751490
40	A	98.612550	94.024523	92.719980
60	A	98.595870	94.009404	92.689390
50	A	98.604750	94.014152	92.702420
8	A	98.623280	94.050593	92.755780
30	A	98.620890	94.032958	92.736140
4	A	98.561060	94.017110	92.664260
6	A	98.604920	94.039942	92.728010
15	A	98.630850	94.046386	92.758750
0	B	98.321990	93.890838	92.315340
2	B	98.492290	93.976158	92.559270
20	B	98.629020	94.040142	92.750870
40	B	98.613420	94.020408	92.716740
60	B	98.597220	94.005267	92.686580
8	B	98.627620	94.049060	92.758350
30	B	98.621650	94.030915	92.734840
50	B	98.605690	94.010224	92.699430
4	B	98.574300	94.017021	92.676620
6	B	98.611970	94.039436	92.734140
10	B	98.631400	94.049441	92.762280
15	B	98.631610	94.045073	92.758170
