Pct	Hap	Aligned	Correct	Overall
0	A	96.121170	97.898559	94.101240
10	A	96.488250	97.939449	94.500060
2	A	96.284510	97.913558	94.275590
15	A	96.486660	97.931942	94.491260
6	A	96.453710	97.939810	94.466580
20	A	96.477970	97.924946	94.476000
4	A	96.397110	97.932988	94.404570
0	B	96.122380	97.897139	94.101060
8	A	96.479440	97.941427	94.493340
10	B	96.488060	97.944036	94.504300
15	B	96.486620	97.937818	94.496890
20	B	96.478840	97.932013	94.483670
2	B	96.286410	97.916134	94.279930
6	B	96.454620	97.944163	94.471670
4	B	96.398460	97.935558	94.408370
40	A	96.433950	97.901247	94.410040
50	A	96.415400	97.891903	94.382870
30	A	96.457880	97.911109	94.442980
70	A	96.372250	97.876028	94.325330
60	A	96.396520	97.884789	94.357530
80	A	96.350990	97.867754	94.296550
8	B	96.479320	97.945715	94.497360
40	B	96.435170	97.904654	94.414520
50	B	96.416900	97.896240	94.388520
30	B	96.458970	97.916990	94.449720
70	B	96.373570	97.876825	94.327390
60	B	96.397880	97.887983	94.361940
80	B	96.352860	97.868449	94.299050
