Pct	UniqueA	UniqueB	PerfectA	PerfectB
0	721979918	708799942	625834113	602537401
2	722373179	709224309	648830754	624664125
4	722615808	709481295	661399759	636746471
6	722734970	709610566	668334506	643416583
8	722779028	709661058	671730011	646685053
10	722781069	709664184	673175544	648074965
15	722720490	709604871	674281035	649137444
20	722652867	709537936	674667662	649510900
30	722491187	709377384	674937152	649774863
40	722354696	709242415	675021827	649861213
50	722224912	709113517	675036100	649879633
60	722104193	708994596	675027546	649875463
70	721951814	708842848	675014630	649865642
80	721831549	708724404	674989256	649846341
